mpid	log(PF_p*10^9)	mean_Number
mp-8195	6.973127854	42
mp-698518	5.545307116	13.28571429
mp-17886	7.071882007	31
mp-554343	6.322219295	23.71428571
mp-770654	6.571708832	11.75
mp-30039	6.559906625	28.71428571
mp-27741	6.669316881	61.33333333
mp-555699	6.840733235	37.5
mp-17504	7.149219113	34.44444444
mp-673705	7.071882007	33.4
mp-541692	6.833147112	39
mp-29602	6.80140371	39
mp-12181	7.11058971	34.5
mp-7262	6.833784375	32
mp-5706	6.914343157	33.4
mp-17473	6.392696953	21
mp-561639	6.489958479	34.5
mp-28223	7.045322979	41.66666667
mp-17470	6.959994838	44.44444444
mp-1392	6.992995098	20
mp-14285	7.390935107	19
mp-384	7.10720997	14.4
mp-569129	6.540329475	37.83333333
mp-4727	6.684845362	42
mp-556339	6.492760389	38.125
mp-7904	7.411619706	21.6
mp-600207	7.086359831	5
mp-542453	6.444044796	13.71428571
mp-11793	6.729974286	39.75
mp-927	7.117271296	19.66666667
mp-2911	6.46834733	36.44444444
mp-14630	5.947433722	14.58823529
mp-753477	6.783903579	20
mp-22665	6.537819095	35
mp-554914	6.819543936	35.875
mp-556172	5.996511672	39.53846154
mp-21835	6.602059991	51.57142857
mp-684006	6.503790683	30.88888889
mp-1154	7.170261715	28.18181818
mp-28701	6.152288344	25.25
mp-555797	5.980911938	17.2
mp-10288	6.895422546	38.5
mp-582723	5.611723308	40.66666667
mp-14243	5.638489257	24.4
mp-28773	6.281033367	16.90909091
mp-621092	6.484299839	26.54545455
mp-22399	6.495544338	36
mp-28126	6.267171728	39.71428571
mp-29297	6.086359831	27.71428571
mp-29603	6.992995098	45
mp-29657	6.45484486	21.5
mp-30123	5.830588669	29.25
mp-5367	6.29666519	33.11111111
mp-23100	6.025305865	27.8
mp-524	6.73239376	37.05882353
mp-541687	5.877946952	27.14285714
mp-653561	6.602059991	42.5
mp-573150	4.904174368	27.66666667
mp-768734	5.7930916	46
mp-23452	6.57863921	25.55555556
mp-29437	6.004321374	17.2
mp-31276	7.045322979	29
mp-744439	6.437750563	8.6
mp-767952	6.146128036	10.27272727
mp-768061	6.127104798	10.27272727
mp-29236	6.551449998	45.33333333
mp-761024	6.285557309	20.28571429
mp-568543	6.555094449	29
mp-28589	6.356025857	35
mp-15649	7.382017043	47.66666667
mp-16861	5.903089987	20.66666667
mp-5942	6.496929648	19
mp-9682	5.940516485	21.14285714
mp-14901	5.69019608	15.14285714
mp-570900	6.701567985	40.46153846
mp-771321	5.674861141	31.55555556
mp-756703	5.541579244	19
mp-13602	5.56937391	21.07692308
mp-22342	6.451786436	24.66666667
mp-27753	6.462397998	20.5
mp-567864	6.830588669	39.8
mp-568493	6.722633923	51.33333333
mp-16834	6.146128036	16.92307692
mp-29690	6.495544338	34
mp-504601	5.307496038	31.2
mp-5737	6.78604121	31.5
mp-601867	6.77815125	36.44444444
mp-680761	5.130333768	18.30769231
mp-29179	6.421603927	28
mp-1443	6.550228353	20.18181818
mp-5248	5.980457892	22.66666667
mp-541722	5.547774705	42.75
mp-555977	5.330413773	24
mp-866941	6.450249108	23.6
mp-28278	6.636487896	26
mp-29596	5.830588669	13.42857143
mp-755893	6.613841822	25.4
mp-667343	6.408239965	37.05882353
mp-770237	6.149219113	9.545454545
mp-778256	4.949390007	20.4
mp-29386	4.877371346	30.13333333
mp-30198	5.527629901	26.30769231
mp-4851	4.888179494	18.85714286
mp-850529	5.875639937	45
mp-16684	6.85308953	30
mp-556577	5.85308953	16.54545455
mp-560538	5.73479983	13.42857143
mp-581862	4.871572936	16.28571429
mp-557473	5.354108439	14.53333333
mp-569085	5.397940009	13
mp-5733	5.311753861	11.6
mp-558706	6.008600172	23.33333333
mp-29222	4.969881644	16.76923077
mp-677055	7.181843588	29.5
mp-556423	5.352182518	10
mp-3470	5.755112266	10
mp-561547	5.683047038	15.2
mp-27747	6.50242712	50.66666667
mp-27618	5.356025857	12.11764706
mp-28542	5.698100546	20.3
mp-31005	5.98721923	14.15384615
mp-3765	4.350248018	12.88888889
mp-760370	5.77524626	32.10526316
mp-680377	5.860936621	36.32
mp-200	6.7930916	20.25
mp-6336	5.827369273	12.57142857
mp-758504	5.271841607	6.528301887
mp-18411	6.828015064	23.85714286
mp-559748	5.935003151	19.18181818
mp-556122	5.11058971	12.88888889
mp-14600	4.988558957	11.14285714
mp-752730	5.872738827	25.14285714
mp-14235	5.571708832	14.76923077
mp-21622	6.155336037	24.66666667
mp-29808	5.820857989	15.55555556
mp-12199	5.681241237	25.69230769
mp-27904	6.760422483	31
mp-560370	6.774516966	37.14285714
mp-27394	6.820857989	31.2
mp-768422	6.064457989	21.5
mp-554988	5.305351369	22
mp-555164	5.640481437	12.28571429
mp-768517	6.23299611	26.25
mp-733932	6.245512668	8.6
mp-734019	5.599883072	8
mp-636598	6.093421685	34.85714286
mp-770446	5.164352856	12.76923077
mp-759441	5.309630167	11
mp-12878	5.675778342	21.4
mp-15438	5.92788341	11.125
mp-849527	5.033423755	26.28571429
mp-761025	4.913283902	26.28571429
mp-560848	6.588831726	38
mp-15740	5.480006943	17.53846154
mp-757407	5.841984805	30.88888889
mp-554740	6.117271296	29.4
mp-627029	5.929418926	14.8
mp-772821	4.850033258	29.42857143
mp-6016	6.093421685	17.54545455
mp-24262	5.357934847	8.5
mp-556031	6.818885415	16.90909091
mp-27915	5.829303773	11.6
mp-626994	5.838849091	14.8
mp-18483	5.749736316	20.4
mp-756919	5.679427897	12.76923077
mp-23819	5.696356389	6.4
mp-777738	5.679427897	5.714285714
mp-722381	5.463892989	10.33333333
mp-24034	5.848189117	7.6
mp-706303	5.245512668	8
mp-690703	5.710963119	12.22222222
mp-753748	6.184691431	11.66666667
mp-778968	4.673020907	28.71428571
mp-756474	4.784617293	24.85714286
mp-866506	6.978180517	25
mp-560921	5.910624405	13.27272727
mp-18469	5.561101384	12.36363636
mp-779498	5.252853031	31.14285714
mp-24460	5.522444234	7.777777778
mp-780406	5.631443769	25.46666667
mp-30975	5.633468456	8.857142857
mp-559610	5.861534411	12.6
mp-29509	6.357934847	18.28571429
mp-3193	5.57054294	10
mp-12645	6.408239965	21.5
mp-27283	6.472756449	41.25
mp-27911	6.450249108	24.66666667
mp-557656	5.600972896	12.88888889
mp-643905	6.509202522	8
mp-24019	6.330413773	5.142857143
mp-558129	5.765668555	10.88888889
mp-775804	6.7355989	15.42857143
mp-24384	5.828659897	6.266666667
mp-721876	5.542825427	7.058823529
mp-555958	4.301029996	11.93939394
mp-560950	5.572871602	22
mp-733968	5.556302501	12.28571429
mp-560772	5.424881637	8.222222222
mp-721586	5.658964843	9.058823529
mp-706655	6	5.52
mp-625739	5.963787827	5.714285714
mp-866646	6.495544338	28.28571429
mp-17433	6.11058971	20.6
mp-604295	5.846955325	12.37037037
mp-775762	5.699837726	17.2
mp-554083	5.447158031	18.90909091
mp-28263	5.857935265	6.333333333
mp-4769	5.997823081	10
mp-5001	6.346352974	4.666666667
mp-759759	5.274157849	10.63636364
mp-560572	5.354108439	5.714285714
mp-540736	4.787460475	14.44444444
mp-7020	6.369215857	14.5
mp-721624	5.553883027	11.36363636
mp-3932	6.064457989	12
mp-866651	6.276461804	25.71428571
mp-758006	5.656098202	12.28571429
mp-554157	5.551449998	12.16666667
mp-554351	5.910624405	35.42857143
mp-759874	5.264817823	11
mp-28204	5.631443769	7.833333333
mp-6290	6.071882007	13.27272727
mp-556250	5.795880017	9.625
mp-559670	6.178976947	16.5
mp-18195	6.267171728	24.5
mp-560889	6.176091259	19.77777778
mp-24708	5.334453751	6.555555556
mp-4180	5.727541257	12.28571429
mp-707250	5.768638101	7.333333333
mp-17288	5.878521796	10.25
mp-558427	5.344392274	10
mp-759183	5.836956737	5.733333333
mp-707333	5.155336037	7.5
mp-33690	6.530199698	27.66666667
mp-625391	5.44870632	5
mp-626470	5.764922985	5.714285714
mp-706544	5.380211242	5.571428571
mp-771255	5.772321707	29.55555556
mp-7624	6.117271296	20
mp-699501	5.703291378	14.8
mp-754876	5.778874472	21.16666667
mp-706979	5.822168079	4.545454545
mp-754388	5.5132176	51
mp-557698	5.487138375	15.23076923
mp-558237	5.818225894	12.57142857
mp-3859	6.103803721	10
mp-542417	5.123851641	8.967741935
mp-556695	6.096910013	13
mp-863408	6.679427897	18.85714286
mp-24761	5.864511081	11.73333333
mp-504600	5.328379603	6
mp-559939	5.474216264	14.88888889
mp-540996	5.773054693	17.125
mp-558981	5.56937391	9.454545455
mp-541412	5.459392488	16.36363636
mp-17704	6.252853031	24
mp-720197	5.390935107	10.71428571
mp-24397	5.301029996	5.555555556
mp-24308	5.401400541	5.647058824
mp-554263	5.906873535	12.28571429
mp-556198	4.565847819	10
mp-556942	5.247973266	12.28571429
mp-698025	5.021189299	8.666666667
mp-557880	4.939019776	11.6
mp-6585	5.823474229	9.111111111
mp-11189	5.874481818	8
mp-15577	5.57863921	24.66666667
mp-771256	5.499687083	18.76923077
mp-14734	4.931457871	16
mp-8810	5.475671188	14.76923077
mp-759312	5.444044796	5.384615385
mp-560613	5.489958479	15.14285714
mp-696089	4.630427875	5.333333333
mp-561346	6.465382851	14.88888889
mp-504662	6.511883361	25.33333333
mp-684018	5.892094603	8.272727273
mp-722269	5.46686762	8.75
mp-778840	5.064457989	8.666666667
mp-706284	5.413299764	5.333333333
mp-776424	5.698970004	10.76923077
mp-755789	6.326335861	7.714285714
mp-510535	5.831869774	10.28571429
mp-558192	5.318063335	10
mp-672334	6.64246452	20.36363636
mp-720294	5.184691431	4.413793103
mp-4734	5.635483747	10
mp-622195	5.025305865	17.33333333
mp-758284	5.309630167	7.263157895
mp-557802	5.292256071	10.47058824
mp-27141	5.697229343	5.789473684
mp-697653	6.089905111	4.666666667
mp-23093	6.117271296	26.7
mp-27358	6.451786436	15.42857143
mp-697339	5.936513742	14.28571429
mp-770464	6.017033339	28.66666667
mp-558805	5.815577748	12.58333333
mp-667292	4.770852012	10.8
mp-850516	5.920123326	7.259259259
mp-759665	5.315970345	5.333333333
mp-778019	4.574031268	6.740740741
mp-17722	6.472756449	27.33333333
mp-770128	5.92890769	28.66666667
mp-28196	5.214843848	4.533333333
mp-756273	5.927370363	14
mp-12372	5.836324116	11.33333333
mp-554508	5.845718018	13.09090909
mp-690708	5.029383778	8
mp-10814	6.086359831	11.66666667
mp-6500	4.788168371	16.8
mp-652366	5.761927838	36.85714286
mp-31508	6.667452953	44.75
mp-6499	6.369215857	14.66666667
mp-557952	5.898176483	15.63636364
mp-601348	5.753583059	11.2
mp-762304	6.481442629	33.33333333
mp-5455	5.340444115	14.26666667
mp-707081	5.212187604	6.408163265
mp-11008	6.770115295	34.6
mp-30537	5.264817823	12.6
mp-556039	5.361727836	10.83333333
mp-722262	5.723455672	6.714285714
mp-555104	5.822821645	17.23076923
mp-643277	5.651278014	5.384615385
mp-709350	5.46686762	17.24137931
mp-570848	6.767155866	25
mp-770408	5.686636269	21.46666667
mp-769344	6.161368002	29.46666667
mp-768736	6.117271296	15.11111111
mp-6726	5.46686762	15.14285714
mp-14704	6.444044796	7.578947368
mp-541415	5.100370545	7.529411765
mp-703343	5.322219295	6.19047619
mp-722348	5.711807229	10.75
mp-773079	4.276461804	5.419354839
mp-770773	4.489958479	14.72727273
mp-26875	5.864511081	10.25
mp-697657	5.613841822	9.368421053
mp-850221	4.089905111	4.808510638
mp-556328	6.491361694	24.5
mp-29330	4.605305046	7.571428571
mp-626486	5.365487985	6
mp-649676	5.336459734	11.6
mp-6899	5.562292864	10
mp-768345	5.694605199	18
mp-770805	6.546542663	14.53333333
mp-560266	5.815577748	8.117647059
mp-13195	5.924279286	23.83333333
mp-769915	5.309630167	24.13333333
mp-644221	6.494154594	7.142857143
mp-3635	6.173186268	6
mp-768798	6.378397901	15.41176471
mp-10349	6.021189299	17.2
mp-24465	5.238046103	9.875
mp-780425	5.63748973	13.71428571
mp-560051	6.294466226	28.28571429
mp-722832	4.688419822	7
mp-15417	6.555094449	19.8
mp-4249	6.127104798	17.71428571
mp-733877	5.378397901	4.965517241
mp-24180	5.184691431	7.875
mp-27094	5.149219113	13.55555556
mp-707419	5.729974286	5.2
mp-23170	6.888740961	23
mp-781622	5.727541257	14
mp-740714	5.526339277	6
mp-756544	6.195899652	19
mp-558941	6.187520721	12.57142857
mp-651847	5.857332496	19.54545455
mp-705497	4.679427897	7.84
mp-605808	6.167317335	8.090909091
mp-30983	4.489958479	10.5
mp-23288	5.769377326	29.5
mp-542129	5.617000341	11.73333333
mp-23798	5.828015064	4.285714286
mp-695987	5.086359831	4.6
mp-622273	6.053078443	44.57142857
mp-706631	4.40654018	7.166666667
mp-705495	5.686636269	6.117647059
mp-696272	5.673941999	17.14285714
mp-721618	5.621176282	6.482758621
mp-30219	5.579783597	19.66666667
mp-757963	5.008600172	6.52173913
mp-755977	6.603144373	52.33333333
mp-720765	5.991226076	6.444444444
mp-694982	6.445604203	18.2
mp-28326	5.814247596	29
mp-557406	5.6599162	7.333333333
mp-555292	5.678518379	10
mp-637235	5.971275849	8.666666667
mp-24072	5.559906625	9.176470588
mp-27692	5.383815366	11
mp-4556	5.462397998	7.714285714
mp-14283	4.848189117	18.8
mp-560189	5.58546073	6.571428571
mp-9209	5.334453751	14.23529412
mp-634431	6.045322979	8.333333333
mp-27180	6.851258349	37
mp-707976	5.494154594	10.75
mp-27694	5.457881897	6.666666667
mp-556237	5.838219222	13.25
mp-556799	5.893761762	9.666666667
mp-31036	6.775974331	42
mp-849230	5.045322979	12.75
mp-30997	6.611723308	23.71428571
mp-554255	6.641474111	25.07692308
mp-557756	5.63748973	9.066666667
mp-1582	6.181843588	18
mp-569826	5.283301229	30.22222222
mp-705528	5.243038049	6
mp-31487	7.139879086	51
mp-28670	6.424881637	35.33333333
mp-752405	6.086359831	23.25
mp-27275	6.079181246	5.428571429
mp-782650	5.926856709	10.36363636
mp-574040	6.217483944	33.11111111
mp-24367	5.418301291	5.448275862
mp-628583	6.346352974	7.333333333
mp-909	7.06069784	33.6
mp-605694	5.599883072	7.392857143
mp-27657	6.068185862	8.315789474
mp-30981	5.307496038	8.153846154
mp-779742	5.542825427	10.70967742
mp-561447	5.292256071	8.518518519
mp-5913	5.739572344	18.36363636
mp-10552	6.720985744	28.8
mp-16605	6.089905111	26.6
mp-757106	6.29666519	14.28571429
mp-554223	5.918030337	16.36363636
mp-720874	5.506505032	5.363636364
mp-555838	6.399673721	16.33333333
mp-770743	6.212187604	21.11111111
mp-706408	4.643452676	7.64516129
mp-696992	5.631443769	7.904761905
mp-17586	5.765668555	13.6
mp-28568	5.113943352	26
mp-781757	6.257678575	22
mp-768771	6.220108088	12.5
mp-542604	6.225309282	24.5
mp-542570	6.557507202	33.5
mp-776763	6.257678575	18.23529412
mp-541750	5.113943352	14.4
mp-28419	5.901458321	32
mp-28583	5.23299611	15
mp-773894	5.36361198	6.307692308
mp-6019	6.045322979	20.4
mp-553970	6.376576957	33.42857143
mp-722342	5.40654018	6.6
mp-572833	6.649334859	27.5
mp-770290	6.650307523	9.833333333
mp-570105	6.691081492	21.07692308
mp-553978	4.809559715	15.2
mp-8496	6.071882007	22.7
mp-766427	5.610660163	8.928571429
mp-12355	5.951337519	23.6
mp-554076	6.710117365	18.66666667
mp-696396	6.222716471	7
mp-757076	5.792391689	13.6
mp-706514	4.600972896	6.266666667
mp-679669	6.636487896	19.71428571
mp-735063	5.598790507	5.125
mp-720739	6.46834733	7.571428571
mp-554315	5.860936621	8.222222222
mp-557521	5.447158031	4.625
mp-769404	6.334453751	19.4
mp-29473	5.907948522	14.66666667
mp-560581	5.798650645	4.235294118
mp-30982	6.79518459	22.33333333
mp-758203	6.721810615	25.23809524
mp-765277	7.041392685	14.28571429
mp-603414	5.025305865	12.3
mp-770413	6.350248018	29.6
mp-776041	6.201397124	12.28571429
mp-769347	6.336459734	10.4
mp-767114	5.481442629	12.375
mp-569132	6.004321374	20.8
mp-758115	6.269512944	11.83333333
mp-28290	6.588831726	24.8
mp-541747	5.424881637	6.076923077
mp-625174	5.729974286	8.833333333
mp-680185	6.8162413	52
mp-555575	6.227886705	17.33333333
mp-556025	6.071882007	5.789473684
mp-757089	5.686636269	14.66666667
mp-559721	5.33243846	9.333333333
mp-557224	6.158362492	27.6
mp-10155	7.195899652	35.66666667
mp-766359	5.904715545	48
mp-19146	6.755112266	23
mp-768820	6.46686762	12.5
mp-559393	4.862131379	10.92307692
mp-555467	5.872156273	13.66666667
mp-557997	6.340444115	15.6
mp-27213	6.800717078	46
mp-560919	5.206825876	9.727272727
mp-17337	5.31386722	16.28571429
mp-17512	6.250420002	23.63636364
mp-768893	6.227886705	18
mp-607987	6.424881637	52.66666667
mp-6796	6.103803721	11.68421053
mp-767134	6.624282096	16.90909091
mp-541688	6.487138375	34.85714286
mp-621981	6.139879086	25.66666667
mp-707938	4.86923172	4.829268293
mp-755530	5.587710965	13
mp-28391	5.170261715	16.4
mp-29990	6.392696953	21.6
mp-761759	6.184691431	17.2
mp-707238	5.764176132	8.571428571
mp-17418	5.23299611	19.44444444
mp-850279	6.644438589	45
mp-753661	6.73239376	22.66666667
mp-721182	5.201397124	4
mp-684504	6.536558443	15.8
mp-29504	6.149219113	13
mp-574928	5.698970004	11.77777778
mp-622196	6.1430148	16.90909091
mp-3397	6.235528447	23.71428571
mp-642795	5.949390007	10
mp-26299	6.522444234	14.28571429
mp-29269	6.423245874	16.33333333
mp-23739	6.509202522	3.6
mp-29502	6.824125834	36.4
mp-684539	6.564666064	12.6
mp-783909	6.11058971	9.625
mp-17539	5.31386722	13.71428571
mp-558114	5.699837726	19.28571429
mp-772779	6.557507202	15.11111111
mp-541915	5.860338007	32.33333333
mp-673059	6.093421685	12.72727273
mp-9788	6.598790507	20.2
mp-775830	6.495544338	14.5
mp-757884	6.550228353	14.26086957
mp-768921	6.184691431	5.294117647
mp-10620	6.745074792	19.5
mp-696066	5.865103975	13.06666667
mp-19014	6.206825876	24.6
mp-24357	6.004321374	7
mp-669564	7.029383778	41
mp-630329	6.344392274	28
mp-27773	5.178976947	8.833333333
mp-23419	7.096910013	25.27272727
mp-759866	6.278753601	14
mp-561397	5.872156273	10
mp-775265	5.682145076	11.76923077
mp-684497	5.593286067	13.44444444
mp-540920	5.971275849	5.234042553
mp-568611	6.336459734	27.5
mp-6674	6.161368002	21.6
mp-570587	5.860936621	8.4
mp-16543	6.004321374	28.5
mp-573358	6.737987326	32.4
mp-723483	6.152288344	10.66666667
mp-7800	6.804139432	20.25
mp-776343	6.56937391	29.33333333
mp-3584	6.283301229	17.83333333
mp-30233	6.120573931	26.4
mp-569224	6.687528961	52.5
mp-558469	5.860338007	26.16666667
mp-15046	6.691081492	32.35714286
mp-705479	5.305351369	10.57142857
mp-708066	4.938519725	18.66666667
mp-566301	6.243038049	29.61904762
mp-542078	6.477121255	30.25
mp-19144	6.593286067	25.27272727
mp-31016	5.996511672	15.6
mp-567917	6.390935107	39.8
mp-760979	5.668385917	11.77777778
mp-613518	6.064457989	16.75
mp-769023	6.190331698	23.82352941
mp-31001	6.56937391	23.55555556
mp-779332	6.250420002	12.22222222
mp-24207	5.971739591	4
mp-760244	6	15.6
mp-707734	6.178976947	33
mp-24171	5.970346876	9.777777778
mp-768809	6.681241237	12.5
mp-556169	6.418301291	17.66666667
mp-556521	5.240549248	18.58823529
mp-690650	6.629409599	8.923076923
mp-28150	6.672097858	20.66666667
mp-753445	7.152288344	23.81818182
mp-743568	5.918030337	12.23076923
mp-556869	6.677606953	28
mp-756202	6.747411808	52
mp-541111	6.342422681	18.66666667
mp-540742	5.892094603	16.5
mp-27628	7.029383778	38
mp-636952	5.568201724	8.444444444
mp-29384	5.929418926	29.4
mp-697660	6.509202522	7.375
mp-752833	6.496929648	7
mp-9789	6.567026366	16.6
mp-769317	5.773786445	19.86666667
mp-759535	5.983626287	17.5
mp-706608	5.719331287	7.777777778
mp-25881	6.117271296	13.44444444
mp-3764	6.173186268	17.125
mp-29022	6.214843848	29.42857143
mp-752575	6.782472624	51
mp-556699	5.632457292	8.857142857
mp-29567	6.841984805	33
mp-570757	6.586587305	42.33333333
mp-570481	6.167317335	34
mp-695843	6.190331698	17.17647059
mp-557260	6.414973348	20.2
mp-540943	6.638489257	34.5
mp-555237	6.283301229	17.71428571
mp-27135	6.432969291	15.38461538
mp-758814	5.26245109	9.407407407
mp-542461	6.419955748	34
mp-646669	6.772321707	26.74285714
mp-568986	6.311753861	27.66666667
mp-28536	6.354108439	20.5
mp-556235	6.517195898	10
mp-23993	6.330413773	5
mp-4591	6.096910013	18.66666667
mp-28294	6.176091259	17.55555556
mp-707839	5.328379603	4.56
mp-28990	6.079181246	27.17647059
mp-684090	6.220108088	12.72727273
mp-29612	3.572871602	53.5
mp-560512	4.356025857	25.66666667
mp-707841	6.245512668	4.727272727
mp-759498	6.562292864	12.72727273
mp-8763	7.117271296	35.6
mp-566334	4.240549248	13.83333333
mp-6825	6.57863921	18.30769231
mp-768789	6.71432976	15.11111111
mp-17196	5.51851394	14.4
mp-680198	6.089905111	37.60714286
mp-768423	6.780317312	12
mp-768995	5.969881644	24.23076923
mp-6109	6.559906625	12
mp-540942	6.31386722	27
mp-759624	6.663700925	13.28571429
mp-19324	5.959994838	17.4
mp-756136	6.57863921	52.33333333
mp-766021	6.28780173	17.4
mp-652046	6.318063335	40.5
mp-774616	6.475671188	4.714285714
mp-866606	6.650307523	23.6
mp-27473	4.765668555	16.47058824
mp-27292	6.100370545	24.35294118
mp-772878	6.689308859	52
mp-559437	6.933487288	10.57142857
mp-759455	6.572871602	12.72727273
mp-622086	7.093421685	28.25
mp-684427	6.120573931	11.66666667
mp-559160	6.123851641	17.90909091
mp-541996	7.093421685	27
mp-18130	6.401400541	18.54545455
mp-568299	6.53529412	18.30769231
mp-557012	6.442479769	7.333333333
mp-697652	6.064457989	11.125
mp-561108	6.278753601	20.76923077
mp-568644	5.181843588	26.94117647
mp-541067	6.728353782	25.75
mp-11893	6.281033367	12.36363636
mp-733489	5.294466226	16.125
mp-684106	7.079181246	12.72727273
mp-559476	6.247973266	22.84615385
mp-24591	6.559906625	12.25
mp-736217	6.133538908	9.285714286
mp-559719	6.012837225	13.16666667
mp-767076	6.318063335	14.22222222
mp-541860	5.745074792	10.25
mp-637209	6.184691431	9.6
mp-26675	6.33243846	11.66666667
mp-554532	5.546542663	16.88888889
mp-559637	6.40654018	22.84615385
mp-554825	5.713490543	14.5
mp-707744	5.133538908	7.793103448
mp-27342	6.350248018	15.76470588
mp-28837	5.609594409	20.4
mp-540554	5.451786436	5.818181818
mp-761841	6.499687083	11.83333333
mp-559020	6.238046103	14.33333333
mp-559204	6.423245874	5
mp-570167	6.06069784	32.22222222
mp-720741	6.045322979	5.111111111
mp-571526	6.477121255	21.07692308
mp-27241	6.193124598	21.75
mp-766343	6.618048097	50
mp-557917	4.100370545	16
mp-559644	6.049218023	17.06666667
mp-24566	6.017033339	9.80952381
mp-3180	6.021189299	24.76923077
mp-768295	5.636487896	52.2
mp-554741	6.484299839	20.81818182
mp-766995	6.603144373	19.33333333
mp-636839	7.075546961	25.25
mp-30086	5.260071388	20
mp-559917	3.673020907	14.44444444
mp-28532	6.572871602	35.6
mp-720515	6.369215857	4
mp-540847	6.309630167	13.4375
mp-18414	6.649334859	23.77777778
mp-774283	5.330413773	15.36363636
mp-758944	5.960470778	13.44444444
mp-559643	6.292256071	20.45454545
mp-766217	6.041392685	20.46153846
mp-722266	6.06069784	7.866666667
mp-6358	6.496929648	11
mp-759406	6.788168371	11
mp-684508	6.346352974	13.66666667
mp-7827	5.978636948	10.72727273
mp-680168	6.501059262	32.78571429
mp-640915	6.053078443	14
mp-557488	6.382017043	16
mp-554581	6.530199698	20.27272727
mp-758151	6.588831726	8.928571429
mp-761857	6.075546961	10.2
mp-27351	5.812913357	17.5
mp-697761	6.361727836	12
mp-7423	6.004321374	27.08333333
mp-560077	5.705007959	16.375
mp-29543	6.260071388	14.66666667
mp-625815	5.823474229	2.727272727
mp-770735	6.710963119	14.33333333
mp-571662	6.591064607	31
mp-568817	5.829946696	6.75
mp-560097	6.068185862	19.2
mp-761914	6.751279104	14.33333333
mp-690765	6.489958479	8.461538462
mp-553981	6.704150517	16.33333333
mp-601210	6.440909082	4.666666667
mp-769319	6.465382851	13
mp-27811	6.292256071	16.66666667
mp-758145	6.574031268	10.09090909
mp-14276	5.910090546	27.2
mp-667336	6.650307523	50.95652174
mp-556587	5.725911632	23.77777778
mp-561511	6.644438589	25
mp-769287	6.814913181	11.33333333
mp-705530	5.357934847	9.5
mp-556346	6.36361198	22.30769231
mp-722382	6.540329475	4.105263158
mp-680334	6.541579244	35
mp-13772	6.821513528	12.58823529
mp-568534	6.717670503	17.09090909
mp-555064	6.85308953	13.14285714
mp-559575	6.356025857	25.45454545
mp-624200	6.471291711	49.5
mp-505141	5.88422877	22.58823529
mp-722351	6.158362492	15.33333333
mp-722988	5.089905111	5.927272727
mp-5282	6.765668555	17.25
mp-504902	5.8876173	28
mp-567604	5.595496222	34.4
mp-28211	4.796574333	20.8
mp-554847	5.921686475	18.4
mp-568060	6.056904851	33.45454545
mp-733598	5.474216264	8.933333333
mp-570796	5.958085849	22.66666667
mp-19453	6.439332694	20.2
mp-30137	5.933487288	27.58333333
mp-28845	6.056904851	19.66666667
mp-560863	6.155336037	21.4
mp-554942	6.181843588	28.72727273
mp-554517	6.390935107	12
mp-28005	5.780317312	12.35294118
mp-771750	6.28780173	21.33333333
mp-778115	6.603144373	15.75
mp-541053	6.139879086	40
mp-759596	5.953276337	15.63636364
mp-555952	4.041392685	13.58974359
mp-29514	6.544068044	8.666666667
mp-555034	6.309630167	27.09090909
mp-28643	6.049218023	4.105263158
mp-13019	6.431363764	24.6
mp-29264	5.7084209	20.88888889
mp-769411	6.451786436	8.210526316
mp-768385	5.130333768	39.6
mp-754162	6.506505032	20.75
mp-709098	5.974511693	9.333333333
mp-770693	6.103803721	9
mp-10771	6.36361198	26.21052632
mp-557470	6.428134794	16.13333333
mp-704306	6.217483944	22.93333333
mp-866688	6.559906625	37.86666667
mp-770400	5.966141733	9.875
mp-616597	6.656098202	31.16666667
mp-757084	6.301029996	26.57142857
mp-755943	6.797267541	52.33333333
mp-645555	6.394451681	20.22222222
mp-560169	6.536558443	10.4
mp-29718	5.870403905	46.72727273
mp-16402	6.369215857	26
mp-707483	6.303196057	8
mp-17160	6.307496038	23
mp-756758	6.334453751	13.53333333
mp-776795	6.29666519	38.57142857
mp-23626	6.230448921	18.26666667
mp-707208	6.240549248	7.789473684
mp-768936	6.120573931	14.35294118
mp-28721	5.731588765	22.36363636
mp-561083	6.041392685	15
mp-782647	5.889861721	9.75
mp-541148	6.434568904	20.22222222
mp-29080	6.555094449	28.2
mp-26701	5.822168079	12.5
mp-23755	6.230448921	9.5
mp-555131	5.774516966	19.25
mp-707071	6.505149978	6.37037037
mp-761041	6.31386722	10.8
mp-780872	6.646403726	10.57142857
mp-555288	6.176091259	20.54545455
mp-770910	6.371067862	7.666666667
mp-761773	6.225309282	11.66666667
mp-573727	6.619093331	58.36842105
mp-567998	6.439332694	35
mp-27093	5.8876173	12.5
mp-573751	5.421603927	20.44444444
mp-30529	6.474216264	2.25
mp-540808	5.692846919	10.54545455
mp-768378	5.240549248	39.6
mp-570539	6.627365857	34.2
mp-557570	5.629409599	22.18181818
mp-559498	6.209515015	25.55555556
mp-27798	5.88592634	2.777777778
mp-569984	5.264817823	44.25
mp-560311	6.409933123	11.3
mp-28390	6.079181246	10.25
mp-561065	6.531478917	11.06666667
mp-542785	6.225309282	5.2
mp-27748	6.662757832	2.285714286
mp-27353	3.942504106	18.66666667
mp-689963	6.068185862	11.83333333
mp-27697	6.80685803	60.4
mp-555516	6.161368002	4.545454545
