mpid	log(PF_p*10^9)	mean_Number
mp-626563	4.012837225	4.296296296
mp-759766	5.540329475	36.8
mp-625112	6.206825876	8.933333333
mp-720205	5.889861721	16.30769231
mp-685043	6.499687083	20
mp-33319	6.625312451	23.8
mp-752443	5.257678575	12
mp-695592	5.812913357	11.3559322
mp-772428	6.089905111	10
mp-695259	6.423245874	18.24242424
mp-677550	2.187520721	11.41772152
mp-675625	5.674861141	10
mp-626340	4.985426474	5.62962963
mp-757127	6.552668216	14.76923077
mp-775170	6.096910013	13
mp-686614	6.357934847	16.47619048
mp-675881	5.212187604	26
mp-674421	5.492760389	37.52173913
mp-626337	5.378397901	4.962962963
mp-531130	6.749736316	37.96923077
mp-675250	5.392696953	24.8
mp-761126	6.597695186	16.18181818
mp-561974	6.698970004	19.57894737
mp-676923	5.980457892	35.89473684
mp-627349	6.350248018	7.714285714
mp-767433	6.037426498	11.33333333
mp-626562	5.651278014	4.296296296
mp-767722	6.44870632	11.05
mp-626819	5.865103975	13.11111111
mp-561052	6.146128036	14.95238095
mp-760205	5.037426498	17.84615385
mp-707160	6.361727836	6.5
mp-690607	6.08278537	11.81818182
mp-851270	5.689308859	11.34210526
mp-686836	7.250420002	27
mp-532626	6.71432976	10.55294118
mp-707276	5.40654018	7.523809524
mp-769549	5.635483747	11.22857143
mp-676339	4.950364854	27.77777778
mp-622026	6.045322979	23.42857143
mp-767604	6.130333768	14.14492754
mp-626977	5.943988875	7.714285714
mp-767395	6.330413773	12.9
mp-765601	6.558708571	10.42105263
mp-677246	5.943494516	17.01298701
mp-627334	6.709269961	7.714285714
mp-626293	4.806179974	4.962962963
mp-759244	6.243038049	14.14492754
mp-761849	6.315970345	10.59259259
mp-662523	5.720159303	22.8
mp-626788	5.833784375	13.11111111
mp-532803	6.670245853	10.60465116
mp-689929	6.240549248	10
mp-504946	6.136720567	12.47619048
mp-762032	6.311753861	14.16901408
mp-758224	6.367355921	12.5
mp-767162	5.700703717	11.66666667
mp-753557	6.037426498	14
mp-760014	4.120573931	15
mp-779434	6.012837225	16.54545455
mp-695215	6.103803721	10.60465116
mp-557441	6.130333768	22.55555556
mp-626829	5.73239376	13.11111111
mp-674363	6.392696953	15.78947368
mp-676951	6.682145076	26.81818182
mp-759763	5.658011397	22.70588235
mp-757504	6.57634135	14.66666667
mp-776408	5.915927212	18.66666667
mp-677636	5.755112266	20.53164557
mp-530379	5.45331834	24
mp-757077	6.190331698	10.58064516
mp-626542	6.049218023	3.6
mp-677042	6.348304863	12.53658537
mp-766237	6.086359831	22.275
mp-676050	5.984077034	4.529411765
mp-754445	6.252853031	7.818181818
mp-769511	6.365487985	10.8
mp-695250	6.553883027	20.75
mp-773725	6.755874856	8.846153846
mp-735808	4.503790683	12.15
mp-695648	4.855519156	10.14545455
mp-681911	6.06069784	18.16666667
mp-760683	5.979548375	9.482758621
mp-776756	5.269512944	11.25
mp-743605	5.155336037	13.84210526
mp-780444	6.089905111	11.63333333
mp-677628	5.996073654	11.14285714
mp-770944	4.605305046	8.666666667
mp-530524	5.605305046	17.68421053
mp-773074	6.064457989	12.44444444
mp-763560	5.910624405	9.105263158
mp-695515	6.31386722	12.56790123
mp-540998	5.946943271	35.88888889
mp-686718	3.307496038	12.56410256
mp-769539	6.012837225	8.235294118
mp-759486	6.164352856	13.6
mp-649632	5.887054378	10.2
mp-695354	6.517195898	12.6
mp-676491	5.10720997	16.36363636
mp-780192	6.222716471	7.3
mp-695452	5.501059262	14.09638554
mp-686019	6.008600172	16.18181818
mp-677437	6.359835482	12.6
mp-772297	5.26245109	10
mp-530316	5.539076099	24.25
mp-776502	6.071882007	10.44444444
mp-675834	6.798650645	23.2
