mpid,formula,crystal_system,e_hull,band_gap,formation,space_group
mp-1196535,Cs3B3Se10,1,0,1.7936,-0.840210862,2
mp-542140,Ta2Tl4Se11,1,0,1.1079,-0.57996637,2
mp-638104,Nb2Tl4Se11,1,0,0.9315,-0.790314802,2
mp-571228,Rb5Sn(PSe5)3,1,0,1.0812,-0.876290059,2
mp-1202454,Rb4Fe8CuH6(Se8O25)2,1,0,1.0194,-1.453590512,2
mp-1197601,Rb4MgFe8H6(Se8O25)2,1,0,2.3228,-1.507228824,2
mp-1224082,K(Ti3Se4)4,1,0,0.0,-1.489535434,2
mp-541758,Ta2Se17Br12,1,0,1.3907,-0.875865945,2
mp-573340,Nb2Se17Cl12,1,0,1.3224,-0.57898858,2
mp-1220065,Rb3(Cr5Se8)4,1,0,0.0,-0.901887938,2
mp-1228215,Cs3(Cr5Se8)4,1,0,0.0021,-0.90447579,2
mp-735586,KFe2H(SeO3)4,2,0,1.8546,-1.468105054,3
mp-1191333,Zn2MoSeO7,2,0,3.7131,-1.728052566,4
mp-1198672,OsSeS3Cl4,2,0,1.4276,-0.747876488,4
mp-1209169,RbVSeO5,2,0,3.1068,-1.974991799,4
mp-1225822,Cu5SeCl5O4,2,0,0.0677,-0.96856407,4
mp-1201217,CsVSeO5,2,0,3.0977,-1.98410848,4
mp-1193369,TiPb2Se2ClO7F,2,0,2.4534,-1.999411034,4
mp-1212028,LaHSe2O7,2,0,2.6835,-1.85938327,4
mp-1193560,NbPb2Se2ClO8,2,0,2.3641,-1.85091088,4
mp-542115,Hg3Se3O10,2,0,1.8689,-0.660123802,4
mp-531170,Tl4SnSe3,2,0,0.649,-0.556639977,4
mp-13538,KPrSiSe4,2,0,2.1773,-1.509517655,4
mp-21176,KCeGeSe4,2,0,0.0,-1.383137445,4
mp-680446,Cu3P4Se4Br3,2,0,1.1478,-0.481782794,4
mp-21097,KLaGeSe4,2,0,1.622,-1.461787651,4
mp-1192685,ZnH6(Se2N)2,2,0,1.4965,-0.528870377,4
mp-861606,KLaSiSe4,2,0,2.2081,-1.564348766,4
mp-12012,KPrGeSe4,2,0,1.6332,-1.40783855,4
mp-11634,KSmGeSe4,2,0,1.6626,-1.40225403,4
mp-28348,Ba2As2Se5,2,0,1.0237,-1.294868917,4
mp-7123,KSb(PSe3)2,2,0,1.8059,-0.641972024,4
mp-1105136,YTl(PSe3)2,2,0,1.5071,-0.907077235,4
mp-1105213,ErTl(PSe3)2,2,0,1.4836,-0.896815584,4
mp-1105141,TbTl(PSe3)2,2,0,1.529,-0.913621894,4
mp-1105449,SmTl(PSe3)2,2,0,1.5815,-0.924625335,4
mp-1105142,TlSb(PSe3)2,2,0,1.553,-0.485347103,4
mp-1105239,DyTl(PSe3)2,2,0,1.5375,-0.907883318,4
mp-680191,Na2Ti2Se9,2,0,0.7175,-1.121238895,4
mp-29198,Na5AuSe12,2,0,1.0246,-0.605261031,4
mp-1217269,TeSe2,2,0,0.6533,-0.010185599,5
mp-1196529,Na6W6Se2O25,2,0,2.7351,-2.082702191,5
mp-1218418,Sr3Se2(ClO3)2,2,0,4.2893,-2.468823115,5
mp-726032,KSe3,2,0,0.0,-0.800935826,5
mp-1221181,Na4Eu(SiSe3)2,2,0,0.9076,-1.286615083,5
mp-1221146,Na4Si2PbSe6,2,0,2.0895,-1.067774694,5
mp-1103351,Na4Mg(SiSe3)2,2,0,2.7632,-1.165330053,5
mp-1103730,Na4Mg(GeSe3)2,2,0,1.8221,-1.090674118,5
mp-1226281,CrAg(PSe3)2,2,0,0.6964,-0.520396304,5
mp-1221197,Na4Eu(GeSe3)2,2,0,0.3878,-1.216632138,5
mp-1228964,AlAg(PSe3)2,2,0,1.6206,-0.587002901,5
mp-1226296,CrCu(PSe3)2,2,0,0.64,-0.499916602,5
mp-1103757,Cu5Sn2Se7,2,0,0.0,-0.34750258,5
mp-1228721,Al4InAgSe8,2,0,0.6835,-0.993545881,5
mp-1224092,In5AgSe8,2,0,0.2236,-0.758815105,5
mp-1220845,Na9Sm(GeSe3)4,2,0,1.7108,-1.154814274,5
mp-1220844,Na9Sm(SiSe3)4,2,0,2.3999,-1.225757905,5
mp-1217676,Tb8Se15,2,0,0.2516,-1.964843763,5
mp-1191502,VIn(SeO4)2,2,0,2.1645,-1.707269761,6
mp-1221454,Na(VSe2)2,2,0,0.0,-1.076066034,6
mp-1222062,MnCdCu4(GeSe4)2,2,0,0.0,-0.544078492,6
mp-1211877,K2PH3SeO8,2,0,4.0697,-1.870610238,7
mp-607953,FeSeBr7,2,0,0.0864,-0.796398194,7
mp-753854,Rb2PH3SeO8,2,0,4.099,-1.873261607,7
mp-984519,NaAsSe2,2,0,1.0293,-0.650343116,7
mp-1220990,NaH3(SeO3)2,2,0,4.3395,-1.382723991,7
mp-558345,ZnFe2(SeO3)4,2,0,0.0,-1.432387019,7
mp-29193,Nb2Se4O13,2,0,2.1472,-1.862888696,7
mp-30325,In2(Se2O5)3,2,0,3.4802,-1.033324092,7
mp-1225967,CsPSe6,2,0,1.6167,-0.706089676,7
mp-1192452,RbNb2PSe10,2,0,0.913,-0.916855797,7
mp-1195822,CsNb2PSe10,2,0,0.8598,-0.927583456,7
mp-1223496,KNi2H3(SeO5)2,2,0,2.6967,-1.372546581,8
mp-1221027,NaNi2H3(SeO5)2,2,0,2.7127,-1.360925424,8
mp-28769,K(SnSe2)2,2,0,1.1727,-0.870193699,8
mp-1221515,MnZn4Se5,2,0,0.7303,-0.885894983,8
mp-680747,K4(BSe)9,2,0,2.1626,-0.677981122,8
mp-1218047,Ta4MoSe10,2,0,0.0,-0.896095584,8
mp-1227542,Ce7Ti4(Se2O)6,2,0,0.0,-2.499571813,8
mp-1217952,Ta12Co3Pt3Se32,2,0,0.0,-1.018462434,8
mp-29299,TeSeO4,2,0,2.9515,-1.345642259,9
mp-1226195,Cs3H(SeO4)2,2,0,3.4782,-1.663326348,9
mp-1224049,K3H(SeO4)2,2,0,3.3252,-1.651157047,9
mp-1078724,LiAsSe2,2,0,0.7504,-0.645072354,9
mp-1223368,La2Mn(SeO)2,2,0,1.7513,-2.73071523,9
mp-1219652,Rb3H(SeO4)2,2,0,3.4013,-1.656922316,9
mp-14659,KAsSe2,2,0,1.5959,-0.846891827,9
mp-1096812,Ag2SnSe3,2,0,0.0586,-0.473000474,9
mp-1224485,Hf2Se3,2,0,0.0,-1.457324311,9
mp-29959,TlBSe3,2,0,0.9154,-0.297648989,9
mp-1095291,Li2SnSe3,2,0,1.4797,-1.066355616,9
mp-15896,Cu2SiSe3,2,0,0.2387,-0.352307164,9
mp-1340,Ga2Se3,2,0,1.0436,-0.700867464,9
mp-11674,Al2Se3,2,0,1.8004,-1.008823536,9
mp-1228026,CsRe2OsSe4Cl3,2,0,2.106,-1.131286116,9
mp-1101086,AgSe5,2,0,0.0,-0.300452463,9
mp-1190429,Na2In2GeSe6,2,0,1.3672,-0.93781548,9
mp-1224631,La5Se6N,2,0,1.5881,-2.249373513,9
mp-1192737,Li4MnSn2Se7,2,0,1.065,-1.019852444,9
mp-866660,K3P2AuSe8,2,0,0.9632,-0.826683044,9
mp-1220616,Nd2Si2PbSe8,2,0,1.819,-1.321410641,9
mp-1220047,Pr2Si2PbSe8,2,0,1.8305,-1.327130651,9
mp-581517,K2In(PSe4)2,2,0,0.9656,-0.806739828,9
mp-1223272,La2Si2PbSe8,2,0,1.9379,-1.569529803,9
mp-542545,K3Nb2AsSe11,2,0,1.1648,-1.022161678,9
mp-683903,Cs3Nb2AsSe11,2,0,1.0014,-1.05852092,9
mp-683905,K3Ta2AsSe11,2,0,1.1878,-1.024450614,9
mp-683902,Rb3Nb2AsSe11,2,0,1.1729,-1.038247647,9
mp-674712,Ca(La2Se3)4,2,0,0.0,-2.354881227,9
mp-1218343,SrNd10Se12(Cl2O9)4,2,0,3.833,-2.41121505,9
mp-1220895,Na6B18Se17,2,0,2.1085,-0.636916911,9
mp-560149,SrFe2(SeO3)4,2,0,2.3146,-1.657333911,10
mp-1195050,SnIr2Se5,2,0,0.4225,-0.471809929,10
mp-1101793,YSeO3F,2,0,3.8843,-2.593790509,11
mp-545482,PdSeO3,2,0,1.0589,-0.701252032,11
mp-9205,KSeO2F,2,0,3.3338,-1.933038177,11
mp-755177,EuSeO3,2,0,0.0866,-2.248232023,11
mp-6989,BaSeO3,2,0,3.8866,-2.315497489,11
mp-28985,SbSeCl9,2,0,1.9981,-0.580705387,11
mp-3395,SrSeO3,2,0,3.7027,-2.064221844,11
mp-1095437,LuSeO3F,2,0,3.8707,-2.860256232,11
mp-570803,Ba2Ge(TeSe)2,2,0,0.8477,-1.471335028,11
mp-567318,TlSbSe2,2,0,0.0,-0.388810932,11
mp-18647,Nd3Ti3(SeO4)2,2,0,0.0,-3.348637551,11
mp-18082,Sm3Ti3(SeO4)2,2,0,0.0,-3.361001664,11
mp-1203751,Dy2Mo3H2Se2O17,2,0,1.6412,-2.155863429,11
mp-1198609,EuV(SeO4)2,2,0,0.0,-2.001251162,11
mp-1203163,GdV(SeO4)2,2,0,2.0264,-2.162825237,11
mp-1192577,FeBi2Se2Cl3O7,2,0,1.3914,-1.484224179,11
mp-644015,KVHSe2O7,2,0,1.9415,-1.727742977,11
mp-525,NbSe3,2,0,0.0,-0.76396488,11
mp-1208832,SmLuSe3,2,0,0.7935,-2.174970956,11
mp-28490,Tl3BSe3,2,0,1.2252,-0.400568664,11
mp-1102545,HfTl2Se3,2,0,0.6963,-1.122332672,11
mp-1683,ZrSe3,2,0,0.3979,-1.236771233,11
mp-29652,TaSe3,2,0,0.0,-0.742955231,11
mp-14447,Ba2SiSe4,2,0,2.2784,-1.724802341,11
mp-10382,KEuPSe4,2,0,0.0896,-1.241553665,11
mp-30151,CuAuSe4,2,0,0.0,-0.393256703,11
mp-570706,CsTiCu3Se4,2,0,1.0155,-0.953003083,11
mp-11902,Ba2GeSe4,2,0,1.4121,-1.623306927,11
mp-29388,K2Ge2Se5,2,0,1.8029,-0.952924828,11
mp-540615,Nb3Se5Cl7,2,0,0.9467,-1.119994936,11
mp-28019,NbCrSe5,2,0,0.0,-0.92100439,11
mp-11114,KCuPdSe5,2,0,0.9195,-0.715435134,11
mp-11115,RbCuPdSe5,2,0,0.5743,-0.722680079,11
mp-1219787,Rb2Bi4Se7,2,0,0.728,-0.907208704,11
mp-1229208,Cs2Bi4Se7,2,0,0.7745,-0.915026362,11
mp-571061,Nb3Se10Cl3,2,0,1.093,-0.807221936,11
mp-568011,K3P5RuSe10,2,0,0.9415,-0.770186948,11
mp-567731,Nb3Se10Br3,2,0,1.0205,-1.059187869,11
mp-669415,Ba3Bi6PbSe13,2,0,0.8085,-1.140456533,11
mp-2793,AuSe,2,0,0.2628,-0.140219075,12
mp-27793,Nb2Se,2,0,0.0,-0.598921481,12
mp-555909,Tb5Se2Cl3O10,2,0,3.7466,-3.026948309,12
mp-16234,CsAg3Se2,2,0,0.1918,-0.583937662,12
mp-31075,Hg3(SeBr)2,2,0,1.3272,-0.669636177,12
mp-557122,RbAu(SeO4)2,2,0,1.4267,-1.161184406,12
mp-1104036,Gd3Se2NO,2,0,1.754,-2.542860501,12
mp-1219343,ScCuSe2,2,0,0.712,-1.287751537,12
mp-1103697,Bi2Pd3Se2,2,0,0.0,-0.514980499,12
mp-30973,Ni3(BiSe)2,2,0,0.0,-0.381537694,12
mp-10477,RbAg3Se2,2,0,0.0612,-0.573175775,12
mp-1218083,Ta6TeSe2,2,0,0.0,-0.518336344,12
mp-1214772,Cs3(SeO4)2,2,0,0.4225,-1.594999369,12
mp-1200987,CsGa(SeO3)2,2,0,3.5463,-1.695563909,12
mp-1205627,Nb(SeI)2,2,0,0.9816,-0.932019868,12
mp-9782,KAg3Se2,2,0,0.0042,-0.566161854,12
mp-561519,NaFe(SeO4)2,2,0,1.9104,-1.419873174,12
mp-1095302,BiSe2,2,0,0.6721,-0.616252702,12
mp-28915,Mn3Se3O10,2,0,0.0,-1.630000142,12
mp-1173753,Na2Ga2Se3,2,0,1.3627,-1.053090094,12
mp-30291,Tb4Se3N2,2,0,1.3453,-2.057414417,12
mp-1215598,Zr2Se3,2,0,0.0,-1.582649306,12
mp-1029349,Y4Se3N2,2,0,1.3943,-2.128914199,12
mp-1102254,Cs2GeSe3,2,0,1.6552,-1.135323928,12
mp-1103379,Cs2SnSe3,2,0,1.7236,-1.165557398,12
mp-9794,Rb2GeSe3,2,0,1.4969,-1.110592219,12
mp-573891,K2Ag4Se3,2,0,0.0,-0.663270174,12
mp-14435,K3GeSe3,2,0,1.8279,-1.187501841,12
mp-7219,Na2ZrSe3,2,0,1.3166,-1.555228321,12
mp-862850,KPAuSe3,2,0,0.9937,-0.699465581,12
mp-1986938,Sr2Bi2Se3O2,2,0,1.3867,-1.8415903,12
mp-554519,Gd4Ti(SeO)4,2,0,0.3285,-2.975820359,12
mp-637251,Cs2SiSe4,2,0,1.9385,-1.146607788,12
mp-1104183,Mn(BiSe2)2,2,0,0.335,-0.667777973,12
mp-22700,V3Se4,2,0,0.0,-0.913763625,12
mp-1025180,Mn(CrSe2)2,2,0,0.0,-0.770480867,12
mp-1104024,Cs2GeSe4,2,0,1.6824,-1.051601747,12
mp-1210700,Mn(SbSe2)2,2,0,0.3928,-0.495499947,12
mp-1105005,Ni3Se4(ClO5)2,2,0,3.1114,-1.231240234,12
mp-571544,KTiPSe5,2,0,0.601,-1.052739959,12
mp-1190043,TlCr3Se5,2,0,0.0,-0.790300426,12
mp-8436,Ta2PdSe6,2,0,0.0,-0.784791043,12
mp-616220,Rb3(Cu4Se3)2,2,0,0.0,-0.617368835,12
mp-1221432,Na2(CrSe2)3,2,0,0.0,-0.97425917,12
mp-1193337,Cs5Ga3Se7,2,0,2.0982,-1.253751436,12
mp-570700,Hf3Tl2(CuSe4)2,2,0,0.5025,-1.203561037,12
mp-28818,RbCr5Se8,2,0,0.0152,-0.916166162,12
mp-3407,TlCr5Se8,2,0,0.0,-0.803379589,12
mp-975271,RbTi5Se8,2,0,0.0,-1.480372705,12
mp-505149,CsCr5Se8,2,0,0.0105,-0.918406305,12
mp-1207893,V5Se8,2,0,0.0,-0.943727521,12
mp-1104473,KCr5Se8,2,0,0.0037,-0.910383848,12
mp-1104327,Cr5Se8,2,0,0.0,-0.812293255,12
mp-1207399,Zr3Tl2(CuSe4)2,2,0,0.3182,-1.207891506,12
mp-1103598,RbV5Se8,2,0,0.0,-1.051392038,12
mp-1105859,CsTi5Se8,2,0,0.0,-1.471951805,12
mp-8244,Ti5TlSe8,2,0,0.0,-1.375937897,12
mp-976257,KTi5Se8,2,0,0.0,-1.479306662,12
mp-973666,KV5Se8,2,0,0.0,-1.060507075,12
mp-977368,K2Dy4Cu4Se9,2,0,0.7293,-1.501596021,12
mp-1226687,Cs3Sb5Se9,2,0,0.4103,-0.83264161,12
mp-863763,K2Y4Cu4Se9,2,0,0.7081,-1.499322637,12
mp-1199482,K2Gd2Sb2Se9,2,0,0.922,-1.321075749,12
mp-505133,Ta4Co2PdSe12,2,0,0.0,-0.991925551,12
mp-1226198,Co4Cu3(NiSe6)2,2,0,0.0,-0.592370703,12
mp-624253,Nb4Co2PdSe12,2,0,0.0,-0.995227237,12
mp-28800,K2Bi8Se13,2,0,0.8361,-0.808941485,12
mp-1192941,Nb8PtSe20,2,0,0.0,-0.873368138,12
mp-570270,NbSeCl3,2,0,0.7559,-1.245848913,13
mp-23498,NbSeBr3,2,0,0.7364,-1.311676528,13
mp-863017,RbZnH2Se2BrO6,2,0,4.0088,-1.472341059,13
mp-863023,RbZnH2Se2ClO6,2,0,4.3256,-1.50127844,13
mp-9576,KSbSe2,2,0,1.1298,-0.815191272,13
mp-1196171,LiScH2Se2O7,2,0,4.07,-1.964787559,13
mp-570887,K2Ag2SnSe4,2,0,0.8472,-0.840480039,13
mp-561035,BaFe2(SeO3)4,2,0,1.8294,-1.668796521,13
mp-23569,AsSe6IF6,2,0,1.577,-1.317241293,13
mp-1196459,Al2Sb5(Se2Br3)3,2,0,1.81,-1.047391767,13
mp-559000,SbSe6IF6,2,0,1.5285,-1.40942058,13
mp-28606,K3AuSe13,2,0,0.7186,-0.467481194,13
mp-1204878,Nb10Se40I3,2,0,0.1289,-0.942781215,13
mp-28885,PSe,2,0,2.2421,-0.090475402,14
mp-556414,CsTmSeCl2O3,2,0,4.227,-2.444843745,14
mp-554706,AsSe(ClF2)3,2,0,3.7139,-1.883358715,14
mp-30123,Hg2SeO5,2,0,0.7264,-0.569275534,14
mp-505373,AsSeI,2,0,1.2345,-0.468129095,14
mp-1102688,PrSbSe,2,0,0.0,-1.617111192,14
mp-630329,PbSeO3,2,0,3.3268,-1.138272878,14
mp-556429,Ag2Mo3SeO12,2,0,1.5519,-1.546568422,14
mp-1101891,LaSbSe,2,0,0.0,-1.73460813,14
mp-559575,AsSe(IF2)3,2,0,1.3837,-1.718828085,14
mp-1202375,NaB3SeO7,2,0,4.4681,-2.398303584,14
mp-1202364,MnSeO3,2,0,3.0996,-1.648298304,14
mp-557019,RbErSeCl2O3,2,0,4.244,-2.433335864,14
mp-1101894,FeAsSe,2,0,0.4486,-0.474923532,14
mp-769404,YSeO3,2,0,1.8121,-2.300222731,14
mp-1103256,FeSbSe,2,0,0.622,-0.493235287,14
mp-557997,CaSeO3,2,0,4.2602,-2.056268352,14
mp-5416,Na2SeO3,2,0,4.2235,-1.601208573,14
mp-1201119,GaH6C2SeI3,2,0,2.6612,-0.40597277,14
mp-4092,SrSeO4,2,0,3.5358,-1.860153472,14
mp-1201786,KB3SeO7,2,0,4.5432,-2.424005352,14
mp-1197058,MgH4SeO5,2,0,4.7945,-1.632060665,14
mp-555160,CsYSeCl2O3,2,0,4.2892,-2.423215631,14
mp-558026,SbSe(IF2)3,2,0,1.4032,-1.837953657,14
mp-1101771,SbOsSe,2,0,1.1234,-0.335562079,14
mp-557457,TmSeO3F,2,0,4.3012,-2.824682954,14
mp-24426,HgH2SeO5,2,0,1.4897,-1.078523485,14
mp-16913,Ag2SeO3,2,0,1.7022,-0.828547761,14
mp-29912,Sb2MoSe,2,0,0.0,-0.308467417,14
mp-1200093,Cs2PH3SeO8,2,0,4.1818,-1.876483019,14
mp-721583,CdH2SeO5,2,0,2.5187,-1.302662015,14
mp-570481,Se,2,0,1.6545,0.0,14
mp-542570,AsSe,2,0,1.368,-0.119492344,14
mp-769334,EuSeO4,2,0,0.0,-2.102235554,14
mp-22342,PbSeO4,2,0,3.1923,-1.054585994,14
mp-555955,LaSeO3F,2,0,3.7498,-2.817176767,14
mp-1215093,Cs2TeH6SeO10,2,0,3.3216,-1.49829084,14
mp-1222829,LaSeS,2,0,0.0,-2.095999966,14
mp-1214784,AsOsSe,2,0,1.0029,-0.313583646,14
mp-1102395,SbRuSe,2,0,0.7829,-0.624781102,14
mp-1179820,Rb2TeH6SeO10,2,0,3.529,-1.493629992,14
mp-24141,CsHSeO4,2,0,3.6444,-1.50953137,14
mp-1198324,Li2B8SeO15,2,0,4.8776,-2.637288233,14
mp-1214921,AsSe(BrF2)3,2,0,2.5724,-1.821698632,14
mp-769393,DySeO3,2,0,1.7861,-2.314388145,14
mp-572726,SbSeCl7O,2,0,1.945,-1.113448425,14
mp-1190442,FeSeO3F,2,0,1.4261,-1.690227892,14
mp-1212434,HfTe7SeCl6,2,0,1.0147,-0.992136028,14
mp-28372,AuSeCl7,2,0,1.7274,-0.356808604,14
mp-1214789,BSe2,2,0,1.7712,-0.194957052,14
mp-12984,TbCuSe2,2,0,0.8242,-1.453124328,14
mp-1209322,RbSm(SeO4)2,2,0,3.4408,-2.006950468,14
mp-541090,Ce(SeO3)2,2,0,1.2671,-2.135841528,14
mp-697888,Na2CdH4(SeO5)2,2,0,2.8694,-1.466353389,14
mp-1194403,PdPb2Se2(ClO3)2,2,0,1.456,-1.347666695,14
mp-1201159,Na2MnH4(SeO5)2,2,0,2.38,-1.535598739,14
mp-1198390,Rb2MnH12(SeO7)2,2,0,2.6843,-1.451991503,14
mp-510528,GdCuSe2,2,0,0.6894,-1.41012985,14
mp-1194904,CuHg(SeO3)2,2,0,0.7591,-1.071897373,14
mp-24755,Rb2NiH12(SeO7)2,2,0,3.4289,-1.399600914,14
mp-570205,PrSe2,2,0,0.0,-1.890629876,14
mp-1211600,KNd(SeO4)2,2,0,3.4429,-2.003497681,14
mp-510018,Rb2CuH12(SeO7)2,2,0,0.5613,-1.360141669,14
mp-570486,NbP2Se2Cl5,2,0,1.2163,-1.179456989,14
mp-559903,NaLa(SeO3)2,2,0,3.6423,-2.184002354,14
mp-1198329,K2MgH12(SeO7)2,2,0,3.9457,-1.522852646,14
mp-3739,NdCuSe2,2,0,0.7529,-1.452259168,14
mp-559160,NaSmSe2O7,2,0,3.3052,-1.809125962,14
mp-540625,GeSe2,2,0,1.4381,-0.579322415,14
mp-1202063,K2NiH12(SeO7)2,2,0,3.6116,-1.396574854,14
mp-571445,HfHg3(SeCl3)2,2,0,2.5501,-1.429334806,14
mp-1214960,AlH5(SeO4)2,2,0,4.4382,-1.597380225,14
mp-554163,Cu5Se2(ClO4)2,2,0,0.0,-1.033052392,14
mp-1211641,KLa(SeO4)2,2,0,3.5152,-2.033515623,14
mp-29139,NaAuSe2,2,0,0.9131,-0.617705985,14
mp-1204821,Tl2ZnH12(SeO7)2,2,0,3.9336,-1.292008309,14
mp-542813,K2BeH4(SeO5)2,2,0,3.2322,-1.656358071,14
mp-24546,MgH2(SeO4)2,2,0,3.3914,-1.472326117,14
mp-1194941,Hg4BiSe2Cl5,2,0,2.105,-0.938907573,14
mp-731052,MnH2(SeO4)2,2,0,1.8575,-1.305015603,14
mp-1200593,KH3(SeO4)2,2,0,3.4141,-1.310687549,14
mp-1197665,MgTl2H12(SeO7)2,2,0,3.9844,-1.393116479,14
mp-1197584,CsH3(SeO4)2,2,0,3.6551,-1.323315473,14
mp-697926,LiCd2HSe2O7,2,0,3.1466,-1.524817087,14
mp-555691,SrZn(SeO3)2,2,0,4.3754,-1.92487974,14
mp-779742,Cs2ZnH12(SeO7)2,2,0,3.767,-1.424594908,14
mp-30236,TlAsSe2,2,0,1.0901,-0.475694008,14
mp-29567,CuSe2Br,2,0,0.8486,-0.605062769,14
mp-570520,ZrHg3(SeCl3)2,2,0,2.5759,-1.403149155,14
mp-779875,Cs2MgH12(SeO7)2,2,0,3.882,-1.526597606,14
mp-28536,BaSe2O5,2,0,3.3889,-1.915381485,14
mp-556959,VZnSe2O7,2,0,1.971,-1.69587725,14
mp-570668,LaSe2,2,0,0.2387,-2.025149988,14
mp-561998,Sr2CoSe2(ClO3)2,2,0,2.1714,-2.076112016,14
mp-11791,CeCuSe2,2,0,0.0,-1.444346102,14
mp-1250007,SiSe2,2,0,2.4771,-0.518573538,14
mp-14316,KPr(SeO4)2,2,0,3.4507,-2.00528479,14
mp-11792,PrCuSe2,2,0,0.7455,-1.449590298,14
mp-24547,ZnH2(SeO4)2,2,0,2.7465,-1.226454781,14
mp-1214073,Cs2MnH12(SeO7)2,2,0,2.7753,-1.451414715,14
mp-2969,CsSbSe2,2,0,1.1312,-0.94117614,14
mp-1205339,Ge(SeO3)2,2,0,3.728,-1.502288191,14
mp-31038,CuSe2Cl,2,0,0.5841,-0.336460636,14
mp-569970,ZrHg3(SeBr3)2,2,0,1.9368,-1.179235089,14
mp-1205399,BaZn(SeO3)2,2,0,3.7891,-1.914342132,14
mp-11793,SmCuSe2,2,0,0.8168,-1.444375933,14
mp-571250,TaP2Se2Cl5,2,0,1.7911,-1.245302911,14
mp-1211681,KSm(SeO4)2,2,0,3.4146,-2.006469613,14
mp-1198176,NbAl2(SeCl4)2,2,0,1.9186,-1.748179692,14
mp-581864,CsAsSe2,2,0,1.6394,-0.863772401,14
mp-28669,Mn(SeO3)2,2,0,0.9789,-1.425067441,14
mp-1232221,PmSe2,2,0,0.0,-1.883216726,14
mp-662535,PbSe2O5,2,0,2.9065,-1.002270465,14
mp-1209487,RbLa(SeO4)2,2,0,3.5194,-2.032979497,14
mp-11790,LaCuSe2,2,0,0.8712,-1.547132725,14
mp-559818,SrMn(SeO3)2,2,0,3.1701,-1.999258862,14
mp-1209454,RbPr(SeO4)2,2,0,3.4666,-2.001893375,14
mp-1180593,KH3(SeO3)2,2,0,4.3334,-1.403861999,14
mp-24182,Rb2ZnH12(SeO7)2,2,0,3.6833,-1.425218074,14
mp-780006,Rb2MgH12(SeO7)2,2,0,3.9236,-1.525127392,14
mp-1197205,K2ZnH12(SeO7)2,2,0,3.6817,-1.42283928,14
mp-553947,Sr2NiSe2(ClO3)2,2,0,3.387,-2.065717528,14
mp-1198362,Tl2NiH12(SeO7)2,2,0,3.8339,-1.26525079,14
mp-1194518,V2Se2O9,2,0,2.259,-1.779999213,14
mp-29260,Ti(SeO3)2,2,0,2.2003,-1.972831038,14
mp-1194798,Sc2Se3O10,2,0,3.6378,-2.161643829,14
mp-18411,Na3GeSe3,2,0,1.8881,-1.06058703,14
mp-31314,K2PSe3,2,0,1.7683,-1.048984687,14
mp-1196912,CuP4Se3Cl,2,0,1.6399,-0.412183029,14
mp-1191826,KBaAsSe3,2,0,1.6299,-1.339824937,14
mp-7198,SrPSe3,2,0,2.1432,-1.128138446,14
mp-9682,Na3AlSe3,2,0,2.3831,-1.288684136,14
mp-11673,Sc2(SeO4)3,2,0,3.3788,-1.996834036,14
mp-505098,Fe2(SeO4)3,2,0,2.2467,-1.261185955,14
mp-11007,CaPSe3,2,0,1.9014,-1.051984898,14
mp-1195841,VPb2Se3O10,2,0,2.376,-1.61517053,14
mp-1195701,TlAgPSe3,2,0,1.2991,-0.462008117,14
mp-1204253,Cu4Se3O10,2,0,0.1667,-1.080374752,14
mp-865980,CsAgPSe3,2,0,1.4308,-0.750352934,14
mp-20316,PPbSe3,2,0,1.6645,-0.411696906,14
mp-541875,K3SnSe3,2,0,1.6276,-1.194529417,14
mp-510283,CsGaSe3,2,0,1.6041,-1.072051265,14
mp-1212349,In2(SeO4)3,2,0,2.3097,-1.03142384,14
mp-573358,CsBSe3,2,0,1.7167,-0.85585178,14
mp-542448,Cs3GaSe3,2,0,2.1993,-1.279530165,14
mp-541997,K3FeSe3,2,0,0.0,-1.067580413,14
mp-553909,Tl2(SeO3)3,2,0,1.9808,-1.202248973,14
mp-541687,K3GaSe3,2,0,2.4441,-1.269708642,14
mp-29833,Bi2(SeO3)3,2,0,3.2697,-1.458591368,14
mp-6300,RbHgSbSe3,2,0,1.0737,-0.766954379,14
mp-18217,K3AlSe3,2,0,2.4697,-1.395650319,14
mp-569129,TlCuPSe3,2,0,1.1535,-0.477579529,14
mp-1194625,Rb2Mo3Se3O16,2,0,2.6974,-1.759525902,14
mp-1208398,Tl2(SeO4)3,2,0,1.4303,-1.083808703,14
mp-1213486,Fe2H2Se3O10,2,0,2.3287,-1.383012532,14
mp-1194590,B2Se3O10,2,0,3.738,-1.651668404,14
mp-683974,Pr2(SeO3)3,2,0,3.4481,-2.284868181,14
mp-20742,EuPSe3,2,0,0.17,-1.107034159,14
mp-28394,Tl2PSe3,2,0,1.5421,-0.403107977,14
mp-1105180,Sr2Sb2Se3O2,2,0,0.7682,-1.827377572,14
mp-568611,KCuPSe3,2,0,1.0053,-0.720559654,14
mp-1196972,KAgPSe3,2,0,1.3696,-0.719878662,14
mp-29173,V2Se3O11,2,0,2.1647,-1.662875121,14
mp-1201201,Cs3B(SeO4)3,2,0,3.1535,-1.718070126,14
mp-23575,AsSe3(ClF2)3,2,0,1.9559,-1.607950498,14
mp-1104988,Ba2Bi2Se3O2,2,0,1.4193,-1.833291937,14
mp-1182406,CrHSe3O8,2,0,3.0003,-1.451602463,14
mp-1201069,CsCuPSe3,2,0,1.3477,-0.749633454,14
