mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-1224180,InGaCu2(TeSe)2,8,2,0.0307831881249995,0.0451999999999999,-0.4392176397656264,5
mp-1224053,In2CuAg(TeSe)2,8,2,0.0248690993750004,0.0678999999999998,-0.555001197877603,5
mp-1080121,KSe3,8,2,0.0059167700195335,0.0,-0.5929674193945296,5
mp-1224864,Ga2Ag2Se3S,8,2,0.0049547896874995,0.4080000000000001,-0.7002635722330726,5
mp-1224849,Ga2Ag2TeSe3,8,2,0.0095065828124996,0.2366000000000001,-0.6311258827539059,5
mp-726032,KSe3,8,2,0.0,0.0,-0.8009358262578123,5
mp-1226281,CrAg(PSe3)2,10,2,0.0,0.6964000000000001,-0.5203963035014872,5
mp-1228964,AlAg(PSe3)2,10,2,0.0,1.6205999999999996,-0.5870029005014878,5
mp-6543,VAg(PSe3)2,10,2,0.0090355761499969,0.0,-0.5416302575014875,5
mp-1226296,CrCu(PSe3)2,10,2,0.0,0.6399999999999997,-0.4999166023348209,5
mp-998415,CsSeBr3,5,2,0.0553528454705873,0.0,-1.1717038583997852,6
mp-1226965,Cd2GaAg(SeS)2,8,2,0.0989446574999997,0.0575999999999998,-0.6982432748567695,6
mp-1228455,Al2Zn(SeS)2,7,2,0.0524879353571412,1.7622,-1.147930188526786,6
mp-1173590,Nb2Se3,10,2,0.2774757697500014,0.0,-0.7160597761874982,6
mp-1219000,Sn4TeSe3,8,2,0.0194602265625007,0.7153,-0.386961974648436,6
mp-1215597,Zr2(SeS)3,8,2,0.0254516387500007,0.5350000000000001,-1.4626005018164054,6
mp-1224418,Hf2(SeS)3,8,2,0.0288660500000013,0.5994000000000006,-1.2806354678125054,6
mp-1223673,InSn3Se4,8,2,0.0757121809375007,0.0,-0.4336291782812473,6
mp-1221454,Na(VSe2)2,7,2,0.0,0.0,-1.0760660343934714,6
mp-1226777,CdAg2SnSe4,8,2,0.0389395103124998,0.0,-0.5252123934635406,6
mp-1228454,Al2ZnSe4,7,2,0.0483189728571415,0.8803999999999998,-1.0524549770535714,6
mp-1226958,Cd2GaAgSe4,8,2,0.0674814981250007,0.004,-0.6953388948177075,6
mp-1215584,Zn2GaAgSe4,8,2,0.0520789643750001,0.084,-0.7677188473177083,6
mp-1226416,Cr2FeSeS3,7,2,0.0998378890476185,0.0,-0.7821575999776778,8
mp-1185834,Mg5Se,6,2,0.2447611166666665,0.0,-0.246671121223958,8
mp-2222904,MgTe2MoW2(SeS)2,10,2,0.3228216458750035,0.0,-0.6412437028020832,8
mp-2240513,MgTe2Mo2W(SeS)2,10,2,0.3168646530000032,0.0,-0.6807710718020836,8
