mpid,log(PF_n*10^7),maximum NdUnfilled
mp-23648,6.980457892,0
mp-755116,6.980457892,1
mp-640357,6.980003372,0
mp-15108,6.980003372,0
mp-30119,6.980003372,0
mp-505001,6.980003372,0
mp-756182,6.980003372,0
mp-36912,6.980003372,0
mp-22951,6.980003372,0
mp-22232,6.980003372,0
mp-10392,6.980003372,1
mp-561305,6.980003372,0
mp-674465,6.979548375,0
mp-569613,6.979548375,0
mp-753673,6.979548375,0
mp-6822,6.979548375,0
mp-622198,6.979548375,8
mp-17375,6.979548375,0
mp-600026,6.979548375,0
mp-568604,6.979548375,0
mp-865500,6.979548375,8
mp-562920,6.979548375,0
mp-22604,6.979548375,0
mp-571436,6.979548375,0
mp-6406,6.979092901,0
mp-697144,6.979092901,0
mp-560848,6.979092901,0
mp-31115,6.979092901,0
mp-504474,6.979092901,0
mp-23740,6.979092901,0
mp-754605,6.979092901,9
mp-680061,6.979092901,0
mp-9488,6.979092901,0
mp-754165,6.979092901,9
mp-6951,6.979092901,0
mp-15740,6.978636948,0
mp-757407,6.978636948,0
mp-554740,6.978636948,0
mp-627029,6.978636948,0
mp-761219,6.978636948,8
mp-21137,6.978636948,0
mp-619034,6.978636948,0
mp-555585,6.978636948,0
mp-754145,6.978636948,9
mp-772821,6.978180517,9
mp-556132,6.978180517,0
mp-27865,6.978180517,0
mp-9127,6.978180517,0
mp-13067,6.978180517,0
mp-7118,6.977723605,0
mp-6016,6.977723605,0
mp-24262,6.977723605,0
mp-556031,6.977723605,0
mp-30148,6.977723605,0
mp-625830,6.977723605,0
mp-5679,6.977723605,0
mp-557414,6.977723605,0
mp-752442,6.977723605,9
mp-696582,6.977723605,0
mp-559612,6.977723605,0
mp-27686,6.977266212,0
mp-28623,6.977266212,0
mp-560904,6.977266212,0
mp-768281,6.977266212,0
mp-757885,6.977266212,0
mp-753693,6.977266212,0
mp-27915,6.977266212,0
mp-626994,6.977266212,0
mp-542459,6.977266212,0
mp-17887,6.977266212,0
mp-754942,6.977266212,0
mp-676813,6.976808337,0
mp-753923,6.976808337,0
mp-756951,6.976808337,0
mp-18483,6.976808337,0
mp-11738,6.976808337,0
mp-754004,6.976808337,0
mp-755416,6.976808337,0
mp-754363,6.976808337,8
mp-22881,6.976808337,0
mp-3466,6.976808337,0
mp-865301,6.976808337,0
mp-23295,6.976808337,0
mp-756919,6.976349979,0
mp-542833,6.976349979,0
mp-17709,6.976349979,0
mp-756427,6.976349979,0
mp-733729,6.976349979,0
mp-605642,6.976349979,0
mp-861906,6.976349979,0
mp-510549,6.976349979,0
mp-555462,6.975891136,0
mp-8184,6.975891136,0
mp-557343,6.975891136,0
mp-754971,6.975891136,0
mp-23819,6.975891136,0
mp-15511,6.975891136,0
mp-15107,6.975891136,0
mp-27742,6.975891136,0
mp-776023,6.975891136,0
mp-560870,6.975891136,0
mp-866827,6.975891136,0
mp-774732,6.975891136,0
mp-7644,6.975891136,9
mp-760755,6.975891136,0
mp-30247,6.975891136,0
mp-7104,6.975891136,0
mp-28382,6.975431809,0
mp-698183,6.975431809,0
mp-863387,6.975431809,0
mp-695512,6.975431809,9
mp-777738,6.975431809,0
mp-722381,6.975431809,0
mp-768572,6.975431809,9
mp-703550,6.975431809,0
mp-560629,6.975431809,0
mp-5784,6.975431809,0
mp-23522,6.975431809,0
mp-583345,6.975431809,0
mp-16253,6.975431809,0
mp-16102,6.975431809,0
mp-29644,6.975431809,0
mp-8876,6.975431809,0
mp-627077,6.974971994,0
mp-697540,6.974971994,0
mp-24034,6.974971994,0
mp-706303,6.974971994,0
mp-690703,6.974971994,0
mp-753748,6.974971994,0
mp-17394,6.974971994,9
mp-754203,6.974971994,0
mp-31292,6.974971994,0
mp-557438,6.974971994,8
mp-3118,6.974971994,0
mp-16432,6.974971994,0
mp-669389,6.974971994,2
mp-866696,6.974971994,9
mp-556649,6.974971994,0
mp-761033,6.974511693,8
mp-780293,6.974511693,0
mp-778968,6.974511693,0
mp-560398,6.974511693,0
mp-758571,6.974511693,0
mp-2895,6.974511693,0
mp-560818,6.974511693,0
mp-769210,6.974511693,0
mp-17761,6.974050903,0
mp-9145,6.974050903,0
mp-766325,6.974050903,0
mp-626173,6.974050903,0
mp-20606,6.974050903,0
mp-1819,6.974050903,0
mp-560441,6.974050903,0
mp-571390,6.974050903,0
mp-5487,6.974050903,0
mp-625051,6.974050903,0
mp-554883,6.973589623,0
mp-754621,6.973589623,0
mp-756474,6.973589623,9
mp-866506,6.973589623,0
mp-771248,6.973589623,0
mp-562569,6.973589623,0
mp-7812,6.973589623,0
mp-6094,6.973589623,0
mp-555736,6.973589623,0
mp-29254,6.973589623,0
mp-675893,6.973589623,9
mp-39140,6.973589623,0
mp-542819,6.973589623,0
mp-29176,6.973589623,0
mp-677638,6.973127854,0
mp-754468,6.973127854,0
mp-30130,6.973127854,0
mp-545488,6.973127854,0
mp-560921,6.973127854,0
mp-20944,6.973127854,0
mp-3552,6.973127854,0
mp-15257,6.973127854,0
mp-568779,6.973127854,0
mp-29696,6.973127854,0
mp-28914,6.973127854,0
mp-557683,6.972665592,0
mp-755541,6.972665592,9
mp-18469,6.972665592,0
mp-686748,6.972665592,0
mp-6383,6.972665592,0
mp-570922,6.972665592,0
mp-559347,6.972665592,0
mp-4202,6.972665592,0
mp-23141,6.972665592,0
mp-754161,6.972202838,0
mp-779498,6.972202838,0
mp-754658,6.972202838,0
mp-27243,6.972202838,1
mp-556118,6.972202838,0
mp-694981,6.972202838,0
mp-1784,6.972202838,0
mp-558607,6.971739591,0
mp-30018,6.971739591,0
mp-628726,6.971739591,0
mp-24460,6.971739591,0
mp-780406,6.971739591,9
mp-699229,6.971739591,0
mp-554397,6.971739591,0
mp-556814,6.971739591,0
mp-5026,6.971739591,0
mp-759242,6.971739591,0
mp-653454,6.971739591,0
mp-10337,6.971739591,9
mp-626504,6.971275849,0
mp-24428,6.971275849,0
mp-772185,6.971275849,8
mp-541431,6.971275849,0
mp-561457,6.971275849,0
mp-18673,6.971275849,0
mp-760489,6.971275849,0
mp-709066,6.971275849,0
mp-13643,6.971275849,0
mp-28020,6.971275849,0
mp-642844,6.971275849,0
mp-755959,6.971275849,0
mp-697085,6.971275849,0
mp-3487,6.971275849,0
mp-23121,6.971275849,0
mp-1767,6.971275849,0
mp-812,6.971275849,0
mp-8402,6.971275849,0
mp-13816,6.971275849,0
mp-625318,6.970811611,0
mp-626631,6.970811611,0
mp-555743,6.970811611,0
mp-30975,6.970811611,0
mp-559610,6.970811611,0
mp-29509,6.970811611,0
mp-6426,6.970811611,0
mp-10444,6.970811611,0
mp-3196,6.970811611,0
mp-754403,6.970811611,8
mp-27161,6.970811611,0
mp-768310,6.970811611,9
mp-695133,6.970346876,0
mp-560387,6.970346876,0
mp-707866,6.970346876,0
mp-662823,6.970346876,0
mp-3193,6.970346876,0
mp-8673,6.970346876,0
mp-27622,6.970346876,0
mp-677780,6.970346876,0
mp-7523,6.970346876,8
mp-12944,6.970346876,0
mp-554203,6.970346876,0
mp-626435,6.969881644,0
mp-626431,6.969881644,0
mp-625320,6.969881644,0
mp-757116,6.969881644,0
mp-12645,6.969881644,0
mp-27283,6.969881644,0
mp-27911,6.969881644,0
mp-766250,6.969881644,0
mp-554288,6.969881644,0
mp-15217,6.969881644,7
mp-23070,6.969881644,0
mp-30274,6.969881644,9
mp-11670,6.969881644,9
mp-721171,6.969415912,0
mp-557656,6.969415912,0
mp-643905,6.969415912,0
mp-24019,6.969415912,0
mp-562517,6.969415912,0
mp-10233,6.969415912,0
mp-733653,6.969415912,0
mp-32959,6.969415912,0
mp-754118,6.969415912,0
mp-768947,6.968949681,0
mp-696156,6.968949681,0
mp-676278,6.968949681,0
mp-558129,6.968949681,0
mp-775804,6.968949681,0
mp-27457,6.968949681,0
mp-756214,6.968949681,9
mp-556588,6.968482949,0
mp-23792,6.968482949,0
mp-9693,6.968482949,0
mp-756868,6.968482949,0
mp-24384,6.968482949,0
mp-721876,6.968482949,0
mp-14367,6.968482949,0
mp-560721,6.968482949,0
mp-755751,6.968482949,9
mp-643009,6.968482949,0
mp-28856,6.968482949,0
mp-697715,6.968482949,0
mp-6606,6.968482949,9
mp-27192,6.968482949,0
mp-28455,6.968015714,0
mp-776086,6.968015714,0
mp-540644,6.968015714,0
mp-720296,6.968015714,0
mp-5126,6.968015714,0
mp-555508,6.968015714,0
mp-3248,6.968015714,0
mp-625641,6.967547976,0
mp-504849,6.967547976,0
mp-18313,6.967547976,0
mp-541932,6.967547976,0
mp-555958,6.967547976,0
mp-560950,6.967547976,0
mp-733968,6.967547976,0
mp-571333,6.967547976,0
mp-756044,6.967547976,0
mp-778103,6.967547976,0
mp-766966,6.967547976,0
mp-7995,6.967547976,0
mp-8809,6.967547976,9
mp-34460,6.967547976,0
mp-558980,6.967547976,0
mp-531590,6.967079734,0
mp-755013,6.967079734,7
mp-769466,6.967079734,9
mp-560772,6.967079734,0
mp-721586,6.967079734,0
mp-556258,6.967079734,0
mp-558226,6.967079734,0
mp-623854,6.967079734,6
mp-605824,6.967079734,0
mp-505551,6.966610987,0
mp-547017,6.966610987,0
mp-570598,6.966610987,0
mp-553881,6.966610987,0
mp-6660,6.966610987,0
mp-706655,6.966610987,0
mp-625739,6.966610987,0
mp-35220,6.966610987,0
mp-554722,6.966610987,9
mp-17975,6.966610987,0
mp-6684,6.966610987,0
mp-556364,6.966610987,0
mp-707337,6.966610987,0
mp-556975,6.966610987,0
mp-625687,6.966141733,0
mp-627442,6.966141733,0
mp-559766,6.966141733,0
mp-866646,6.966141733,0
mp-17433,6.966141733,0
mp-561441,6.966141733,9
mp-573658,6.966141733,0
mp-6812,6.966141733,0
mp-8603,6.966141733,0
mp-2763,6.966141733,0
mp-864617,6.966141733,0
mp-679,6.966141733,0
mp-554560,6.966141733,0
mp-686042,6.965671971,0
mp-754604,6.965671971,0
mp-757303,6.965671971,0
mp-557662,6.965671971,0
mp-604295,6.965671971,0
mp-775762,6.965671971,0
mp-1270,6.965671971,0
mp-572537,6.965671971,0
mp-27293,6.965671971,0
mp-558273,6.965671971,0
mp-18986,6.965671971,6
mp-626506,6.965201701,0
mp-10935,6.965201701,0
mp-554083,6.965201701,0
mp-10390,6.965201701,7
mp-11684,6.965201701,0
mp-559109,6.965201701,0
mp-7652,6.965201701,0
mp-555387,6.965201701,0
mp-6174,6.965201701,0
mp-558208,6.964730921,0
mp-559875,6.964730921,0
mp-28263,6.964730921,0
mp-4769,6.964730921,0
mp-5001,6.964730921,0
mp-759759,6.964730921,0
mp-560572,6.964730921,0
mp-5363,6.964730921,0
mp-560459,6.964730921,0
mp-556894,6.964730921,0
mp-8872,6.964730921,0
mp-2079,6.964730921,0
mp-643941,6.964730921,0
mp-32645,6.964730921,0
mp-557483,6.964730921,0
mp-696969,6.964730921,0
mp-5914,6.964730921,0
mp-581857,6.964730921,0
mp-626094,6.96425963,0
mp-695365,6.96425963,0
mp-540736,6.96425963,0
mp-7020,6.96425963,9
mp-721624,6.96425963,0
mp-3932,6.96425963,0
mp-557614,6.96425963,0
mp-769289,6.96425963,9
mp-23553,6.96425963,0
mp-752395,6.96425963,0
mp-22905,6.96425963,0
mp-866651,6.963787827,0
mp-776074,6.963787827,0
mp-775900,6.963787827,0
mp-555318,6.963787827,0
mp-4693,6.963787827,0
mp-3795,6.963787827,0
mp-5285,6.963787827,0
mp-556167,6.963787827,0
mp-772840,6.963787827,0
mp-7611,6.963787827,0
mp-10341,6.963787827,0
mp-13061,6.963787827,9
mp-560209,6.963787827,0
mp-17620,6.963787827,0
mp-13925,6.963787827,9
mp-550685,6.963787827,0
mp-677248,6.963315511,0
mp-626727,6.963315511,0
mp-758006,6.963315511,0
mp-760676,6.963315511,0
mp-24424,6.963315511,0
mp-14526,6.963315511,8
mp-24411,6.963315511,0
mp-677121,6.962842681,0
mp-625171,6.962842681,0
mp-626690,6.962842681,0
mp-556477,6.962842681,9
mp-554157,6.962842681,0
mp-554351,6.962842681,0
mp-759874,6.962842681,0
mp-28471,6.962842681,0
mp-4449,6.962842681,0
mp-695960,6.962842681,0
mp-685003,6.962842681,0
mp-642735,6.962842681,1
mp-29873,6.962842681,0
mp-542201,6.962842681,6
mp-8001,6.962842681,0
mp-16855,6.962842681,7
mp-561189,6.962842681,0
mp-627944,6.962369336,0
mp-541728,6.962369336,0
mp-756007,6.962369336,0
mp-28204,6.962369336,0
mp-6290,6.962369336,0
mp-555087,6.962369336,0
mp-7594,6.962369336,0
mp-505782,6.962369336,0
mp-558458,6.962369336,0
mp-11623,6.962369336,9
mp-755991,6.962369336,0
mp-28534,6.962369336,0
mp-722977,6.962369336,0
mp-3427,6.962369336,0
mp-32594,6.962369336,0
mp-12929,6.962369336,0
mp-755357,6.962369336,0
mp-27791,6.962369336,0
mp-541827,6.961895474,0
mp-556250,6.961895474,0
mp-559670,6.961895474,9
mp-18195,6.961895474,9
mp-11773,6.961895474,0
mp-15081,6.961895474,0
mp-5425,6.961895474,0
mp-34081,6.961895474,9
mp-17486,6.961895474,0
mp-756361,6.961895474,8
mp-8890,6.961421094,0
mp-761825,6.961421094,0
mp-757574,6.961421094,0
mp-752401,6.961421094,8
mp-560889,6.961421094,0
mp-24708,6.961421094,0
mp-4180,6.961421094,0
mp-707250,6.961421094,0
mp-6675,6.961421094,0
mp-21452,6.961421094,0
mp-28857,6.961421094,0
mp-9186,6.961421094,0
mp-769310,6.961421094,0
mp-851118,6.961421094,8
mp-754109,6.961421094,0
mp-690684,6.961421094,0
mp-6949,6.961421094,0
mp-4043,6.961421094,6
mp-15317,6.961421094,0
mp-24340,6.960946196,0
mp-541339,6.960946196,0
mp-625616,6.960946196,0
mp-510240,6.960946196,0
mp-543034,6.960946196,0
mp-757905,6.960946196,8
mp-542143,6.960946196,0
mp-17288,6.960946196,0
mp-15547,6.960946196,0
mp-641365,6.960946196,6
mp-540877,6.960946196,9
mp-29097,6.960946196,0
mp-6160,6.960946196,0
mp-753564,6.960946196,0
mp-23151,6.960946196,0
mp-30962,6.960946196,0
mp-36395,6.960946196,9
mp-675871,6.960946196,9
mp-22990,6.960946196,0
mp-6952,6.960946196,0
mp-6798,6.960946196,5
mp-693753,6.960470778,0
mp-774105,6.960470778,0
mp-768740,6.960470778,0
mp-561491,6.960470778,0
mp-9675,6.960470778,0
mp-8230,6.960470778,0
mp-770359,6.960470778,7
mp-6493,6.960470778,0
mp-755998,6.960470778,8
mp-686526,6.960470778,0
mp-560944,6.960470778,0
mp-557537,6.960470778,0
mp-1029,6.960470778,0
mp-607931,6.959994838,0
mp-676956,6.959994838,0
mp-698132,6.959994838,0
mp-558427,6.959994838,0
mp-759183,6.959994838,0
mp-707333,6.959994838,0
mp-33690,6.959994838,0
mp-604119,6.959994838,0
mp-625184,6.959994838,0
mp-697027,6.959994838,0
mp-772876,6.959994838,0
mp-6032,6.959994838,0
mp-866870,6.959994838,0
mp-13327,6.959994838,9
mp-557074,6.959994838,8
mp-555070,6.959994838,0
mp-4961,6.959994838,0
mp-28315,6.959994838,0
mp-723378,6.959994838,0
mp-8454,6.959994838,0
mp-13926,6.959994838,9
mp-21723,6.959518377,0
mp-23934,6.959518377,0
mp-604120,6.959518377,0
mp-706489,6.959518377,0
mp-42255,6.959518377,6
mp-33302,6.959518377,0
mp-753345,6.959518377,0
mp-560501,6.959518377,0
mp-626103,6.959041392,0
mp-556788,6.959041392,0
mp-24181,6.959041392,0
mp-766256,6.959041392,9
mp-4691,6.959041392,0
mp-625391,6.959041392,0
mp-626470,6.959041392,0
mp-755870,6.959041392,9
mp-779593,6.959041392,9
mp-17660,6.959041392,0
mp-27425,6.959041392,0
mp-768263,6.959041392,9
mp-7572,6.959041392,0
mp-6622,6.959041392,8
mp-686765,6.959041392,9
mp-13546,6.959041392,9
mp-21099,6.959041392,0
mp-556878,6.958563883,0
mp-707311,6.958563883,0
mp-625632,6.958563883,0
mp-696853,6.958563883,0
mp-561551,6.958563883,9
mp-706544,6.958563883,0
mp-23781,6.958563883,0
mp-772408,6.958563883,0
mp-3372,6.958563883,0
mp-555118,6.958563883,0
mp-510328,6.958563883,0
mp-6548,6.958563883,9
mp-5588,6.958563883,0
mp-555812,6.958563883,0
mp-17009,6.958563883,0
mp-644409,6.958085849,0
mp-545541,6.958085849,0
mp-7064,6.958085849,0
mp-23958,6.958085849,9
mp-771255,6.958085849,0
mp-7624,6.958085849,0
mp-699501,6.958085849,0
mp-754876,6.958085849,0
mp-556569,6.958085849,7
mp-707324,6.958085849,0
mp-18549,6.958085849,0
mp-32736,6.958085849,0
mp-570106,6.958085849,0
mp-771264,6.957607287,0
mp-540862,6.957607287,0
mp-6055,6.957607287,0
mp-34380,6.957607287,7
mp-557035,6.957607287,0
mp-6930,6.957607287,0
mp-28688,6.957607287,0
mp-755417,6.957607287,0
mp-10509,6.957607287,0
mp-754833,6.957128198,8
mp-24389,6.957128198,0
mp-560222,6.957128198,0
mp-557752,6.957128198,0
mp-706979,6.957128198,0
mp-754388,6.957128198,0
mp-555182,6.957128198,0
mp-13680,6.957128198,0
mp-23007,6.957128198,0
mp-7610,6.957128198,0
mp-23885,6.957128198,0
mp-554463,6.957128198,9
mp-13190,6.957128198,0
mp-556137,6.956648579,0
mp-760684,6.956648579,0
mp-684841,6.956648579,0
mp-29825,6.956648579,0
mp-13791,6.956648579,0
mp-585516,6.956648579,0
mp-12431,6.956648579,0
mp-553988,6.956648579,0
mp-23267,6.956648579,0
mp-32689,6.956648579,0
mp-24668,6.956648579,0
mp-754739,6.956648579,0
mp-545756,6.956648579,0
mp-567655,6.95616843,0
mp-696878,6.95616843,0
mp-557698,6.95616843,0
mp-558237,6.95616843,0
mp-3859,6.95616843,0
mp-706616,6.95616843,0
mp-13603,6.95616843,0
mp-12262,6.95616843,0
mp-29746,6.95616843,0
mp-752458,6.95568775,9
mp-720222,6.95568775,0
mp-558603,6.95568775,0
mp-542417,6.95568775,0
mp-556695,6.95568775,0
mp-863408,6.95568775,0
mp-3928,6.95568775,0
mp-558347,6.95568775,0
mp-561027,6.95568775,0
mp-556962,6.95568775,0
mp-2345,6.95568775,0
mp-707135,6.955206538,0
mp-625145,6.955206538,0
mp-542214,6.955206538,0
mp-541162,6.955206538,0
mp-24761,6.955206538,0
mp-504600,6.955206538,0
mp-557244,6.955206538,0
mp-756316,6.955206538,0
mp-764236,6.955206538,5
mp-9749,6.955206538,0
mp-9323,6.955206538,0
mp-554445,6.955206538,0
mp-556812,6.955206538,0
mp-554947,6.955206538,0
mp-764647,6.955206538,8
mp-773007,6.954724791,0
mp-675953,6.954724791,0
mp-559969,6.954724791,9
mp-561254,6.954724791,0
mp-849798,6.954724791,0
mp-673650,6.954724791,9
mp-756389,6.954724791,9
mp-777584,6.954724791,6
mp-6486,6.954724791,0
mp-9410,6.954724791,0
mp-768978,6.954724791,0
mp-39460,6.954724791,0
mp-601817,6.954724791,0
mp-24104,6.954242509,0
mp-561058,6.954242509,0
mp-864891,6.954242509,0
mp-559939,6.954242509,0
mp-680722,6.954242509,0
mp-553907,6.954242509,0
mp-22889,6.954242509,0
mp-14730,6.954242509,0
mp-12630,6.954242509,0
mp-754798,6.954242509,0
mp-687090,6.954242509,8
mp-556464,6.954242509,0
mp-17382,6.954242509,0
mp-33932,6.953759692,6
mp-505396,6.953759692,0
mp-695316,6.953759692,0
mp-722278,6.953759692,0
mp-41795,6.953759692,0
mp-8416,6.953759692,0
mp-540996,6.953759692,0
mp-558981,6.953759692,0
mp-27047,6.953759692,0
mp-541459,6.953759692,0
mp-558366,6.953759692,0
mp-558162,6.953759692,0
mp-13189,6.953759692,9
mp-561291,6.953759692,0
mp-15275,6.953759692,9
mp-556400,6.953759692,0
mp-768907,6.953759692,0
mp-556161,6.953759692,0
mp-9480,6.953759692,0
mp-754777,6.953759692,9
mp-23659,6.953759692,0
mp-981,6.953759692,0
mp-13274,6.953276337,0
mp-530722,6.953276337,0
mp-541412,6.953276337,9
mp-18620,6.953276337,0
mp-561467,6.953276337,9
mp-8957,6.953276337,7
mp-680683,6.953276337,0
mp-761252,6.953276337,0
mp-570823,6.953276337,0
mp-5479,6.953276337,0
mp-3074,6.953276337,0
mp-551456,6.953276337,0
mp-6695,6.952792443,0
mp-706426,6.952792443,0
mp-555313,6.952792443,9
mp-607806,6.952792443,0
mp-28810,6.952792443,0
mp-18609,6.952792443,0
mp-27579,6.952792443,0
mp-674395,6.952792443,0
mp-14721,6.952792443,0
mp-3009,6.952792443,0
mp-17951,6.952792443,0
mp-30228,6.952792443,0
mp-22909,6.952792443,0
mp-5259,6.952792443,0
mp-23432,6.952792443,0
mp-3889,6.952792443,0
mp-752450,6.952792443,0
mp-24390,6.95230801,0
mp-28883,6.95230801,0
mp-707840,6.95230801,0
mp-554539,6.95230801,0
mp-17704,6.95230801,0
mp-720197,6.95230801,0
mp-24397,6.95230801,0
mp-23904,6.95230801,0
mp-553923,6.95230801,0
mp-555676,6.95230801,0
mp-696735,6.95230801,0
mp-557498,6.95230801,0
mp-849796,6.95230801,0
mp-558022,6.95230801,0
mp-20351,6.95230801,0
mp-771185,6.951823035,0
mp-42508,6.951823035,0
mp-558240,6.951823035,0
mp-772986,6.951823035,0
mp-24308,6.951823035,0
mp-779637,6.951823035,0
mp-16996,6.951823035,0
mp-774651,6.951823035,0
mp-6419,6.951823035,0
mp-559123,6.951823035,9
mp-754354,6.951823035,0
mp-560188,6.951823035,0
mp-23612,6.951823035,0
mp-686308,6.951337519,0
mp-35397,6.951337519,6
mp-775918,6.951337519,9
mp-556527,6.951337519,0
mp-554263,6.951337519,0
mp-556198,6.951337519,0
mp-754117,6.951337519,9
mp-760477,6.951337519,0
mp-559814,6.951337519,0
mp-849271,6.951337519,0
mp-699213,6.951337519,0
mp-850277,6.951337519,0
mp-36007,6.951337519,0
mp-7618,6.951337519,9
mp-2940,6.951337519,9
mp-755382,6.951337519,0
mp-30241,6.951337519,0
mp-561725,6.951337519,0
mp-693340,6.950851459,0
mp-556942,6.950851459,0
mp-555786,6.950851459,0
mp-653861,6.950851459,9
mp-9113,6.950851459,0
mp-753821,6.950851459,0
mp-552552,6.950851459,0
mp-758925,6.950851459,0
mp-28559,6.950364854,0
mp-43068,6.950364854,0
mp-775466,6.950364854,0
mp-698025,6.950364854,0
mp-557880,6.950364854,0
mp-6585,6.950364854,0
mp-27564,6.950364854,0
mp-774753,6.950364854,0
mp-27251,6.950364854,0
mp-648053,6.950364854,0
mp-541040,6.950364854,9
mp-541291,6.949877704,5
mp-684589,6.949877704,0
mp-560653,6.949877704,0
mp-11189,6.949877704,0
mp-15577,6.949877704,0
mp-771256,6.949877704,0
mp-643066,6.949877704,0
mp-721617,6.949877704,0
mp-768814,6.949877704,9
mp-549869,6.949877704,0
mp-3775,6.949877704,0
mp-42458,6.949877704,0
mp-23147,6.949877704,0
mp-3654,6.949877704,0
mp-695965,6.949390007,0
mp-555846,6.949390007,0
mp-779257,6.949390007,0
mp-775485,6.949390007,0
mp-10476,6.949390007,0
mp-556523,6.949390007,9
mp-14734,6.949390007,0
mp-8810,6.949390007,0
mp-759312,6.949390007,0
mp-27197,6.949390007,0
mp-625823,6.949390007,0
mp-554089,6.949390007,0
mp-677103,6.949390007,0
mp-11165,6.949390007,0
mp-4529,6.949390007,0
mp-555770,6.949390007,0
mp-756402,6.949390007,9
mp-755537,6.949390007,9
mp-698063,6.949390007,0
mp-1378,6.949390007,0
mp-27355,6.949390007,0
mp-662810,6.949390007,9
mp-570021,6.949390007,8
mp-677497,6.948901761,0
mp-24683,6.948901761,0
mp-556662,6.948901761,0
mp-625465,6.948901761,0
mp-554736,6.948901761,0
mp-864766,6.948901761,0
mp-14568,6.948901761,0
mp-667371,6.948901761,0
mp-24053,6.948901761,0
mp-15066,6.948901761,0
mp-758587,6.948901761,0
mp-554665,6.948901761,0
mp-39823,6.948901761,0
mp-10103,6.948901761,0
mp-10851,6.948901761,0
mp-7738,6.948901761,9
mp-755445,6.948412966,0
mp-560613,6.948412966,0
mp-756656,6.948412966,9
mp-5251,6.948412966,0
mp-559786,6.948412966,0
mp-530449,6.948412966,0
mp-15079,6.948412966,0
mp-7560,6.948412966,9
mp-560399,6.948412966,0
mp-693463,6.94792362,9
mp-696089,6.94792362,0
mp-561346,6.94792362,8
mp-866339,6.94792362,0
mp-769296,6.94792362,0
mp-555825,6.94792362,9
mp-752514,6.94792362,0
mp-2139,6.94792362,0
mp-548658,6.94792362,0
mp-769381,6.94792362,7
mp-696815,6.94792362,0
mp-557109,6.94792362,8
mp-18243,6.94792362,0
mp-769079,6.94792362,9
mp-23145,6.94792362,0
mp-754500,6.947433722,0
mp-13282,6.947433722,0
mp-504662,6.947433722,0
mp-684018,6.947433722,0
mp-722269,6.947433722,0
mp-778840,6.947433722,0
mp-720334,6.947433722,0
mp-27674,6.947433722,0
mp-554573,6.947433722,0
mp-541513,6.947433722,9
mp-15960,6.947433722,0
mp-697268,6.947433722,0
mp-12286,6.947433722,7
mp-779519,6.947433722,8
mp-557126,6.947433722,0
mp-15983,6.947433722,6
mp-557930,6.947433722,0
mp-555488,6.947433722,0
mp-669367,6.947433722,0
mp-29799,6.947433722,0
mp-707941,6.946943271,0
mp-556994,6.946943271,0
mp-556880,6.946943271,0
mp-643776,6.946943271,0
mp-764559,6.946943271,4
mp-10804,6.946943271,9
mp-706284,6.946943271,0
mp-776424,6.946943271,0
mp-755789,6.946943271,0
mp-5477,6.946943271,6
mp-560394,6.946943271,0
mp-3881,6.946943271,0
mp-2173,6.946943271,0
mp-23416,6.946943271,0
mp-556963,6.946943271,0
mp-545643,6.946943271,0
mp-8039,6.946943271,0
mp-17770,6.946452265,0
mp-557134,6.946452265,0
mp-510535,6.946452265,0
mp-558192,6.946452265,0
mp-17839,6.946452265,0
mp-555366,6.946452265,0
mp-6479,6.946452265,0
mp-553932,6.946452265,0
mp-2452,6.946452265,0
mp-15728,6.946452265,0
mp-752537,6.946452265,8
mp-17718,6.946452265,0
mp-3595,6.946452265,0
mp-16947,6.946452265,0
mp-557227,6.946452265,0
mp-754759,6.946452265,9
mp-12171,6.946452265,0
mp-6059,6.946452265,9
mp-554752,6.945960704,0
mp-672334,6.945960704,0
mp-17012,6.945960704,7
mp-35082,6.945960704,0
mp-41109,6.945960704,0
mp-23292,6.945960704,0
mp-30293,6.945960704,0
mp-15408,6.945960704,0
mp-28877,6.945960704,0
mp-8870,6.945960704,0
mp-557516,6.945960704,0
mp-552966,6.945960704,0
mp-33606,6.945960704,0
mp-11147,6.945960704,0
mp-16452,6.945960704,9
mp-559389,6.945960704,0
mp-16804,6.945960704,0
mp-7375,6.945960704,6
mp-641923,6.945960704,0
mp-18308,6.945468585,0
mp-30942,6.945468585,0
mp-720294,6.945468585,0
mp-4734,6.945468585,0
mp-505274,6.945468585,0
mp-21283,6.945468585,0
mp-618991,6.945468585,0
mp-9583,6.945468585,0
mp-9230,6.944975908,0
mp-622195,6.944975908,0
mp-758284,6.944975908,0
mp-16737,6.944975908,0
mp-6397,6.944975908,0
mp-721279,6.944975908,0
mp-768518,6.944975908,9
mp-707105,6.944975908,0
mp-545719,6.944975908,0
mp-32850,6.944975908,0
mp-546125,6.944975908,9
mp-752422,6.944975908,0
mp-560597,6.944975908,0
mp-9712,6.944975908,0
mp-567365,6.944975908,0
mp-7811,6.944975908,0
mp-706243,6.944482672,0
mp-867930,6.944482672,0
mp-720704,6.944482672,9
mp-542451,6.944482672,0
mp-707176,6.944482672,0
mp-557802,6.944482672,0
mp-27141,6.944482672,0
mp-697653,6.944482672,0
mp-18255,6.944482672,0
mp-779622,6.944482672,0
mp-755403,6.944482672,9
mp-558332,6.944482672,0
mp-27998,6.944482672,6
mp-29136,6.944482672,0
mp-13840,6.944482672,9
