mpid,log(PF_n*10^7),maximum NdUnfilled
mp-569170,7.220108088,0
mp-2530,7.220108088,0
mp-864755,7.220108088,9
mp-23301,7.220108088,0
mp-559588,7.217483944,0
mp-22971,7.217483944,0
mp-28413,7.217483944,0
mp-505297,7.217483944,6
mp-698518,7.214843848,0
mp-583052,7.214843848,9
mp-7392,7.214843848,0
mp-4586,7.214843848,0
mp-23101,7.214843848,6
mp-23571,7.214843848,0
mp-15794,7.214843848,9
mp-570084,7.214843848,0
mp-755128,7.214843848,0
mp-422,7.214843848,0
mp-12641,7.214843848,6
mp-14983,7.212187604,3
mp-20878,7.212187604,0
mp-7439,7.212187604,0
mp-23759,7.212187604,0
mp-696649,7.209515015,0
mp-720842,7.209515015,1
mp-23357,7.209515015,0
mp-557857,7.209515015,6
mp-1821,7.209515015,6
mp-1500,7.209515015,0
mp-6653,7.209515015,6
mp-15789,7.206825876,0
mp-15791,7.206825876,0
mp-9036,7.206825876,0
mp-571582,7.204119983,0
mp-15777,7.204119983,0
mp-23091,7.204119983,0
mp-10653,7.204119983,0
mp-6613,7.204119983,9
mp-568570,7.201397124,0
mp-570590,7.201397124,0
mp-10423,7.201397124,0
mp-29055,7.198657087,0
mp-757365,7.198657087,9
mp-29857,7.198657087,0
mp-17886,7.198657087,0
mp-675458,7.198657087,9
mp-23072,7.198657087,0
mp-561294,7.198657087,6
mp-14797,7.198657087,1
mp-7937,7.198657087,6
mp-12644,7.198657087,9
mp-28800,7.195899652,0
mp-554343,7.195899652,0
mp-770654,7.195899652,0
mp-4016,7.195899652,0
mp-2412,7.195899652,0
mp-23408,7.195899652,0
mp-614572,7.195899652,0
mp-760401,7.195899652,6
mp-16763,7.195899652,9
mp-5273,7.195899652,0
mp-561751,7.195899652,0
mp-755183,7.195899652,0
mp-754154,7.195899652,0
mp-9200,7.195899652,0
mp-23037,7.195899652,0
mp-1330,7.195899652,0
mp-5146,7.195899652,2
mp-35417,7.193124598,7
mp-37605,7.193124598,0
mp-15788,7.193124598,9
mp-20289,7.193124598,0
mp-754555,7.193124598,0
mp-9984,7.193124598,0
mp-757872,7.190331698,0
mp-27850,7.190331698,8
mp-757850,7.190331698,0
mp-755367,7.190331698,7
mp-4182,7.190331698,5
mp-753677,7.190331698,0
mp-11742,7.190331698,0
mp-5808,7.190331698,0
mp-7113,7.190331698,5
mp-568386,7.187520721,0
mp-27252,7.187520721,0
mp-10784,7.187520721,0
mp-9085,7.187520721,0
mp-9086,7.187520721,0
mp-22750,7.187520721,0
mp-10616,7.187520721,0
mp-754138,7.187520721,0
mp-865218,7.187520721,8
mp-505284,7.184691431,0
mp-1434,7.184691431,5
mp-10783,7.184691431,0
mp-28554,7.184691431,0
mp-7480,7.184691431,9
mp-754823,7.184691431,0
mp-16764,7.184691431,9
mp-8289,7.184691431,0
mp-2075,7.184691431,0
mp-558501,7.184691431,0
mp-30039,7.181843588,0
mp-14588,7.181843588,1
mp-30456,7.181843588,0
mp-571146,7.181843588,0
mp-30943,7.181843588,0
mp-549728,7.181843588,0
mp-28944,7.181843588,0
mp-8085,7.181843588,0
mp-1342,7.181843588,0
mp-1794,7.181843588,0
mp-14100,7.181843588,2
mp-28711,7.178976947,0
mp-767636,7.178976947,5
mp-5537,7.178976947,6
mp-9006,7.178976947,0
mp-9076,7.178976947,0
mp-556100,7.178976947,0
mp-571653,7.178976947,0
mp-27741,7.176091259,0
mp-555699,7.176091259,9
mp-22856,7.176091259,0
mp-6254,7.176091259,6
mp-571085,7.176091259,0
mp-3613,7.176091259,0
mp-118,7.173186268,0
mp-570155,7.173186268,1
mp-5841,7.173186268,0
mp-23710,7.173186268,0
mp-38695,7.173186268,0
mp-10918,7.173186268,0
mp-29157,7.170261715,1
mp-780671,7.170261715,7
mp-29849,7.170261715,0
mp-675219,7.170261715,9
mp-2576,7.170261715,0
mp-559270,7.170261715,0
mp-569715,7.170261715,0
mp-9367,7.170261715,0
mp-757,7.170261715,0
mp-16179,7.167317335,0
mp-541487,7.167317335,1
mp-10780,7.167317335,0
mp-160,7.167317335,0
mp-23033,7.167317335,0
mp-4326,7.167317335,0
mp-569178,7.167317335,0
mp-9081,7.167317335,0
mp-567841,7.167317335,0
mp-29337,7.164352856,0
mp-17504,7.164352856,0
mp-27655,7.164352856,0
mp-755646,7.164352856,0
mp-510075,7.164352856,0
mp-7046,7.164352856,0
mp-553308,7.164352856,0
mp-15988,7.164352856,0
mp-556225,7.161368002,0
mp-568656,7.161368002,0
mp-9365,7.161368002,0
mp-1317,7.161368002,3
mp-19996,7.161368002,9
mp-28579,7.158362492,0
mp-32760,7.158362492,0
mp-568761,7.158362492,0
mp-10778,7.158362492,0
mp-30091,7.158362492,0
mp-9037,7.158362492,0
mp-7938,7.158362492,6
mp-14242,7.155336037,0
mp-849636,7.155336037,7
mp-569287,7.155336037,0
mp-28224,7.155336037,0
mp-673705,7.155336037,0
mp-765493,7.155336037,0
mp-561068,7.155336037,0
mp-5606,7.155336037,0
mp-2657,7.155336037,8
mp-27294,7.155336037,0
mp-643002,7.155336037,4
mp-697030,7.155336037,3
mp-555393,7.155336037,0
mp-558946,7.152288344,0
mp-601286,7.152288344,0
mp-557680,7.152288344,6
mp-12385,7.152288344,9
mp-9562,7.152288344,0
mp-4255,7.152288344,0
mp-10226,7.152288344,9
mp-32884,7.149219113,0
mp-28900,7.149219113,0
mp-17691,7.149219113,0
mp-10246,7.149219113,1
mp-601257,7.149219113,0
mp-571189,7.149219113,8
mp-571079,7.149219113,0
mp-768197,7.149219113,0
mp-23541,7.149219113,0
mp-567780,7.149219113,0
mp-757100,7.149219113,3
mp-15783,7.149219113,0
mp-29450,7.149219113,0
mp-1634,7.149219113,5
mp-758317,7.146128036,9
mp-8190,7.146128036,0
mp-669445,7.146128036,0
mp-541692,7.146128036,0
mp-10223,7.146128036,0
mp-559276,7.146128036,0
mp-1509,7.146128036,0
mp-23520,7.146128036,0
mp-9519,7.146128036,0
mp-28593,7.146128036,0
mp-542112,7.146128036,8
mp-19400,7.146128036,6
mp-504876,7.1430148,0
mp-23474,7.1430148,0
mp-553956,7.1430148,0
mp-29245,7.1430148,0
mp-8725,7.1430148,8
mp-28316,7.1430148,0
mp-12027,7.1430148,7
mp-755139,7.1430148,0
mp-870,7.1430148,0
mp-753946,7.1430148,3
mp-6978,7.1430148,0
mp-644203,7.1430148,0
mp-676540,7.139879086,0
mp-757457,7.139879086,9
mp-29237,7.139879086,0
mp-581696,7.139879086,9
mp-33997,7.139879086,7
mp-27922,7.139879086,0
mp-15782,7.139879086,0
mp-2514,7.139879086,0
mp-570744,7.139879086,0
mp-31053,7.136720567,0
mp-560025,7.136720567,0
mp-29602,7.136720567,8
mp-11265,7.136720567,0
mp-6960,7.136720567,0
mp-753619,7.136720567,0
mp-27725,7.136720567,0
mp-677467,7.136720567,0
mp-2826,7.136720567,9
mp-29959,7.133538908,0
mp-12181,7.133538908,0
mp-16608,7.133538908,4
mp-720283,7.133538908,1
mp-21365,7.133538908,0
mp-7910,7.133538908,0
mp-5048,7.133538908,0
mp-545788,7.133538908,0
mp-24409,7.133538908,0
mp-568244,7.133538908,0
mp-675902,7.133538908,9
mp-23949,7.133538908,0
mp-568328,7.130333768,4
mp-758245,7.130333768,0
mp-18335,7.130333768,0
mp-568803,7.130333768,0
mp-20396,7.130333768,6
mp-23411,7.130333768,0
mp-28248,7.130333768,0
mp-559355,7.130333768,0
mp-9063,7.130333768,0
mp-18337,7.130333768,0
mp-23127,7.127104798,0
mp-7262,7.127104798,0
mp-5706,7.127104798,0
mp-570157,7.127104798,8
mp-16921,7.127104798,0
mp-697084,7.127104798,0
mp-558849,7.127104798,0
mp-9856,7.127104798,8
mp-3582,7.127104798,0
mp-40830,7.127104798,9
mp-23758,7.127104798,0
mp-27833,7.127104798,0
mp-29246,7.123851641,0
mp-767402,7.123851641,9
mp-28134,7.123851641,0
mp-12488,7.123851641,0
mp-554238,7.123851641,0
mp-3257,7.123851641,0
mp-662553,7.123851641,0
mp-19921,7.123851641,0
mp-550820,7.123851641,0
mp-676250,7.123851641,0
mp-753304,7.123851641,0
mp-36641,7.120573931,0
mp-17473,7.120573931,0
mp-561639,7.120573931,0
mp-567855,7.120573931,0
mp-759636,7.120573931,6
mp-29372,7.120573931,0
mp-766422,7.120573931,0
mp-401,7.120573931,9
mp-771900,7.120573931,3
mp-30164,7.120573931,0
mp-33723,7.120573931,0
mp-571567,7.120573931,0
mp-12908,7.120573931,9
mp-505747,7.117271296,0
mp-28223,7.117271296,9
mp-3934,7.117271296,0
mp-7643,7.117271296,0
mp-643253,7.117271296,1
mp-37722,7.117271296,0
mp-12509,7.117271296,9
mp-14437,7.117271296,9
mp-754883,7.117271296,0
mp-7017,7.117271296,6
mp-555074,7.117271296,0
mp-545659,7.117271296,0
mp-557664,7.117271296,0
mp-655613,7.113943352,0
mp-569501,7.113943352,0
mp-8234,7.113943352,0
mp-682548,7.113943352,0
mp-3664,7.113943352,0
mp-7974,7.113943352,0
mp-686581,7.11058971,0
mp-17470,7.11058971,0
mp-759870,7.11058971,0
mp-4019,7.11058971,8
mp-8926,7.11058971,0
mp-15567,7.11058971,0
mp-14787,7.11058971,0
mp-557203,7.11058971,8
mp-11660,7.11058971,8
mp-4405,7.11058971,0
mp-1392,7.10720997,0
mp-669414,7.10720997,8
mp-640553,7.10720997,6
mp-31086,7.10720997,0
mp-8932,7.10720997,0
mp-23704,7.10720997,0
mp-7457,7.10720997,0
mp-545728,7.10720997,0
mp-13151,7.10720997,0
mp-3721,7.10720997,8
mp-31220,7.10720997,0
mp-8301,7.10720997,9
mp-695582,7.103803721,9
mp-14285,7.103803721,3
mp-384,7.103803721,0
mp-569129,7.103803721,0
mp-12455,7.103803721,0
mp-761916,7.103803721,0
mp-35327,7.103803721,0
mp-9915,7.103803721,0
mp-9799,7.103803721,0
mp-4636,7.103803721,9
mp-8145,7.103803721,9
mp-3632,7.103803721,9
mp-774712,7.103803721,0
mp-557142,7.103803721,0
mp-8630,7.103803721,3
mp-569571,7.103803721,6
mp-758413,7.100370545,0
mp-675419,7.100370545,0
mp-675701,7.100370545,0
mp-11677,7.100370545,0
mp-19363,7.100370545,5
mp-672237,7.100370545,0
mp-17830,7.100370545,0
mp-12453,7.100370545,0
mp-9317,7.100370545,8
mp-24662,7.100370545,0
mp-675620,7.100370545,0
mp-675645,7.100370545,0
mp-552292,7.100370545,0
mp-775909,7.100370545,8
mp-4886,7.100370545,0
mp-13695,7.100370545,0
mp-18126,7.100370545,0
mp-1599,7.096910013,0
mp-4727,7.096910013,0
mp-752463,7.096910013,6
mp-7188,7.096910013,4
mp-9986,7.096910013,0
mp-13975,7.096910013,0
mp-11824,7.096910013,0
mp-556339,7.093421685,0
mp-647557,7.093421685,8
mp-7756,7.093421685,0
mp-755790,7.093421685,8
mp-551101,7.093421685,0
mp-28921,7.093421685,0
mp-4644,7.093421685,0
mp-11055,7.093421685,0
mp-567503,7.093421685,0
mp-570054,7.093421685,0
mp-1943,7.093421685,0
mp-23453,7.093421685,0
mp-27829,7.093421685,0
mp-570268,7.089905111,5
mp-560611,7.089905111,0
mp-782065,7.089905111,0
mp-546266,7.089905111,0
mp-552857,7.089905111,0
mp-28920,7.089905111,0
mp-567753,7.089905111,9
mp-2507,7.089905111,0
mp-10621,7.086359831,0
mp-24818,7.086359831,0
mp-36053,7.086359831,0
mp-568498,7.086359831,0
mp-550714,7.086359831,0
mp-505045,7.086359831,0
mp-560046,7.086359831,7
mp-555487,7.086359831,0
mp-557832,7.086359831,0
mp-9676,7.086359831,0
mp-34376,7.086359831,0
mp-551250,7.086359831,0
mp-850274,7.086359831,0
mp-557619,7.086359831,0
mp-669326,7.086359831,0
mp-647489,7.086359831,0
mp-680111,7.086359831,0
mp-7650,7.086359831,9
mp-7904,7.08278537,0
mp-600207,7.08278537,0
mp-554120,7.08278537,0
mp-7913,7.08278537,0
mp-753508,7.08278537,0
mp-548469,7.08278537,0
mp-5122,7.08278537,0
mp-561066,7.08278537,0
mp-756435,7.08278537,6
mp-10289,7.08278537,0
mp-27954,7.08278537,0
mp-555818,7.08278537,0
mp-570136,7.08278537,0
mp-571592,7.08278537,0
mp-30284,7.08278537,0
mp-567359,7.08278537,0
mp-467,7.08278537,8
mp-1572,7.08278537,0
mp-28553,7.08278537,0
mp-30847,7.08278537,8
mp-28084,7.08278537,0
mp-676644,7.079181246,0
mp-675450,7.079181246,0
mp-9254,7.079181246,0
mp-542453,7.079181246,6
mp-18347,7.079181246,0
mp-560054,7.079181246,9
mp-28597,7.079181246,0
mp-978,7.079181246,0
mp-556111,7.079181246,9
mp-674350,7.079181246,8
mp-643895,7.079181246,0
mp-23043,7.079181246,0
mp-866482,7.079181246,0
mp-570472,7.079181246,0
mp-571197,7.079181246,0
mp-7176,7.079181246,9
mp-7972,7.079181246,9
mp-569595,7.079181246,0
mp-865353,7.079181246,0
mp-556742,7.079181246,0
mp-770957,7.079181246,3
mp-553874,7.075546961,9
mp-11793,7.075546961,0
mp-927,7.075546961,0
mp-2911,7.075546961,0
mp-14630,7.075546961,9
mp-753477,7.075546961,0
mp-559287,7.075546961,0
mp-769349,7.075546961,7
mp-4192,7.075546961,0
mp-644751,7.075546961,0
mp-24150,7.075546961,0
mp-10347,7.075546961,7
mp-27375,7.075546961,0
mp-571225,7.075546961,0
mp-757074,7.075546961,0
mp-753920,7.075546961,0
mp-777394,7.075546961,0
mp-13065,7.075546961,0
mp-690794,7.075546961,0
mp-27948,7.075546961,0
mp-754282,7.075546961,0
mp-27194,7.071882007,0
mp-543045,7.071882007,0
mp-554878,7.071882007,0
mp-22665,7.071882007,0
mp-28011,7.071882007,0
mp-689927,7.071882007,8
mp-636654,7.071882007,9
mp-616327,7.071882007,0
mp-21445,7.071882007,0
mp-756238,7.071882007,0
mp-22965,7.071882007,0
mp-571519,7.071882007,0
mp-567483,7.071882007,0
mp-22893,7.071882007,0
mp-4519,7.071882007,0
mp-540789,7.071882007,0
mp-567542,7.071882007,0
mp-14407,7.071882007,0
mp-557466,7.071882007,0
mp-558189,7.071882007,0
mp-752467,7.068185862,6
mp-616255,7.068185862,0
mp-554914,7.068185862,0
mp-556172,7.068185862,0
mp-11692,7.068185862,0
mp-675800,7.068185862,8
mp-570828,7.068185862,0
mp-7447,7.068185862,0
mp-685150,7.068185862,0
mp-6764,7.068185862,0
mp-28029,7.068185862,5
mp-3733,7.068185862,0
mp-505743,7.068185862,0
mp-505814,7.068185862,6
mp-552488,7.068185862,9
mp-768906,7.068185862,9
mp-556060,7.068185862,0
mp-9330,7.068185862,0
mp-571091,7.068185862,0
mp-20902,7.068185862,0
mp-988,7.068185862,0
mp-570089,7.068185862,0
mp-768231,7.068185862,9
mp-1217,7.068185862,0
mp-2229,7.068185862,0
mp-28347,7.064457989,0
mp-21835,7.064457989,0
mp-684006,7.064457989,0
mp-865274,7.064457989,0
mp-568031,7.064457989,0
mp-23089,7.064457989,7
mp-558188,7.064457989,0
mp-568001,7.064457989,0
mp-17927,7.064457989,0
mp-29827,7.064457989,0
mp-14550,7.064457989,8
mp-866811,7.064457989,0
mp-9396,7.064457989,8
mp-27337,7.064457989,0
mp-21511,7.064457989,0
mp-675946,7.064457989,0
mp-695514,7.064457989,8
mp-4024,7.064457989,0
mp-545847,7.064457989,9
mp-546625,7.064457989,0
mp-856,7.064457989,0
mp-570671,7.064457989,0
mp-567199,7.064457989,0
mp-754009,7.064457989,9
mp-680226,7.064457989,0
mp-510724,7.064457989,0
mp-10281,7.064457989,0
mp-29027,7.06069784,7
mp-6238,7.06069784,7
mp-1154,7.06069784,0
mp-28701,7.06069784,0
mp-555797,7.06069784,0
mp-505700,7.06069784,0
mp-776356,7.06069784,0
mp-675524,7.06069784,0
mp-28929,7.06069784,0
mp-17153,7.06069784,0
